#{"t_start": 1632852963.2002, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.005654,2,2.742328
-0.129968,1,2.806945
-0.010346,4,3.065386
-0.004537,1,3.118586
0.001468,3,3.330175
-0.057952,4,3.59393
-0.067428,9,4.14999
0.024528,3,4.339113
-0.024805,5,4.681943
-0.038271,1,4.739391
0.00736,2,4.851477
-0.018286,4,5.12045
-0.165317,5,5.468792
-0.009061,4,5.721371
-0.023244,6,6.111789
-0.012223,4,6.355649
-0.050191,1,6.44234
-0.012061,5,6.758349
0.041425,2,6.882448
0.075855,5,7.204546
0.053193,2,7.347384
-0.005629,1,7.400731
0.004762,3,7.597735
0.000135,7,8.085757
0.030836,3,8.294193
0.024853,7,8.740995
0.044522,1,8.812784
0.004637,2,8.942395
-0.062024,5,9.283943
0.026825,6,9.660873
-0.009936,3,9.867462
0.014491,5,10.189857
0.017692,2,10.327371
-0.001191,1,10.395769
-0.008288,2,10.523376
-0.006083,2,10.665291
0.091313,3,10.864679
-0.050521,2,11.002165
-0.073449,3,11.205284
-0.074095,2,11.332572
-0.011827,6,11.697559
-0.229534,3,11.895556
-0.022524,1,11.977589
-0.038347,3,12.149401
0.071577,3,12.353384
0.090785,4,12.603477
-0.085634,2,12.737044
-0.064741,3,12.930524
0.070253,1,12.989639
-0.04197,1,13.076316
0.000296,9,13.626183
0.012371,3,13.803238
0.027074,3,13.980789
0.124162,2,14.122224
-0.035535,3,14.322801
0.018394,3,14.533787
0.015901,6,14.914493
-0.053206,2,15.047406
-0.04115,2,15.18774
0.020256,2,15.323067
0.007213,5,15.67533
0.016101,3,15.871429
0.091624,2,16.010082
-0.002793,2,16.140569
0.050585,2,16.283987
-0.060985,3,16.487072
-0.100902,3,16.695903
0.022521,1,16.755582
-0.103725,1,16.82442
0.022631,3,17.031914
0.017878,8,17.575487
0.01222,3,17.775708
0.049381,2,17.90205
-0.067912,3,18.076299
-0.013981,3,18.275971
-0.027571,2,18.409029
0.121082,1,18.459807
-0.010367,2,18.59905
0.035519,4,18.869933
0.014736,2,18.983169
-0.011172,2,19.115834
-0.0176,4,19.36513
-0.002628,2,19.499733
-0.009189,3,19.690705
0.046461,3,19.908812
-0.019372,1,19.963397
0.001647,6,20.352875
-0.018311,5,20.670967
0.004744,2,20.796858
-0.006665,4,21.07959
0.040489,4,21.311984
0.083344,3,21.507527
0.001233,2,21.64289
-0.040089,7,22.091501
0.038532,2,22.251499
-0.100056,5,22.553739
-0.018473,2,22.697246
-0.032633,2,22.830028
0.006858,6,23.206389
0.003673,8,23.725023
-0.31644,1,23.798782
-0.117691,6,24.18506
0.014001,5,24.502303
-0.005708,2,24.632783
0.036249,4,24.904733
-0.216698,4,25.168527
-0.045385,2,25.312822
-0.009665,2,25.462063
-0.117655,2,25.59814
0.113677,3,25.789933
-0.021237,5,26.125406
-0.043952,2,26.23507
0.029299,3,26.468516
-0.061654,5,26.80646
-0.131598,4,27.073572
0.015386,6,27.46376
-0.012733,3,27.649447
-0.055833,4,27.915555
0.011126,5,28.250904
-0.080754,2,28.376021
0.018081,3,28.565104
0.007209,7,29.050561
-0.028901,2,29.17437
-0.001029,2,29.304287
-0.023537,2,29.434159
-0.215588,3,29.647304
0.039777,2,29.786679
-0.041727,2,29.906121
-0.024092,4,30.160105
-0.013778,2,30.284179
0.106319,3,30.480227
-0.011569,2,30.624038
-0.010796,2,30.740536
-0.027603,2,30.856431
-0.016657,9,31.454137
-0.014502,2,31.594434
0.036152,4,31.855219
0.149576,3,32.041547
0.078049,1,32.096184
0.025729,2,32.224302
0.041513,3,32.434142
0.005639,4,32.684793
0.028518,3,32.888868
0.059899,4,33.143965
-0.048005,3,33.335274
-0.06651,1,33.405263
-0.004214,4,33.694921
-0.010754,3,33.897708
0.080471,3,34.106263
0.01328,1,34.186752
0.037181,1,34.247583
-0.032343,8,34.76915
-0.127383,3,34.940995
-0.042061,2,35.083935
0.030832,2,35.23056
0.014617,2,35.338682
0.003176,1,35.428279
-0.002037,4,35.709615
-0.023683,4,35.975629
-0.062644,3,36.18579
-0.022961,5,36.474239
0.053347,4,36.767296
-0.089913,3,36.959549
0.078852,2,37.097511
-0.01894,6,37.498805
0.004507,2,37.640855
0.052182,2,37.788219
-0.018021,4,38.0517
0.018355,2,38.234936
0.032415,1,38.303637
-0.033144,2,38.436066
0.013521,3,38.639707
0.027846,4,38.911681
0.087392,1,38.999478
-0.027669,5,39.327557
-0.006524,2,39.460058
0.03667,5,39.776762
0.037412,5,40.128908
0.010434,2,40.256562
-0.086581,1,40.318911
0.022362,2,40.464474
-0.017238,3,40.65019
0.018714,5,41.003305
0.050761,4,41.268634
0.027407,4,41.520735
0.001069,1,41.594483
-0.008759,5,41.8891
-0.025824,2,41.995169
-0.068521,2,42.149682
-0.080143,3,42.336638
0.027492,6,42.70696
-0.023568,2,42.838414
-0.123304,1,42.902298
0.021732,3,43.098377
-0.075673,9,43.680186
0.020527,1,43.757025
0.003645,5,44.07476
-0.172348,6,44.436257
0.020706,3,44.635247
0.144315,4,44.901056
-0.053157,3,45.081052
-0.029031,5,45.41331
0.059447,2,45.534093
-0.039781,3,45.739989
-0.02499,5,46.080477
-0.007498,2,46.198395
0.003877,3,46.395185
-0.012685,3,46.573703
-0.041056,9,47.140381
0.021127,4,47.38485
0.04921,2,47.539658
-0.01645,1,47.597634
-0.03436,3,47.780692
-0.006669,3,47.968469
-0.069069,5,48.31246
-0.048751,2,48.444756
-0.011524,2,48.599513
0.075303,2,48.730126
-0.040142,1,48.794301
-0.050128,3,48.976703
0.020099,2,49.117994
0.054722,1,49.192038
-0.152616,3,49.396485
0.002155,3,49.572901
-0.013189,1,49.63588
0.067212,4,49.906654
-0.011892,2,50.039122
-0.038135,2,50.178313
-0.159196,2,50.313157
-0.044981,8,50.811208
-0.146756,5,51.135872
0.029066,6,51.535776
0.055572,2,51.652695
0.04716,1,51.715073
-0.039427,7,52.171481
-0.058109,3,52.359176
-0.158968,1,52.423948
-0.069245,4,52.666508
0.003478,6,53.081602
0.093784,1,53.139799
-0.021638,7,53.578674
-0.02593,4,53.838997
0.001075,11,54.568505
0.016732,2,54.700573
0.009876,2,54.833798
-0.011113,1,54.900664
-0.113684,3,55.094132
0.012161,5,55.413332
-0.003117,4,55.671217
-0.015875,5,56.009268
-0.012342,2,56.140927
0.027811,2,56.277916
-0.099019,2,56.397255
-0.006016,3,56.596192
0.041166,1,56.658254
-0.023556,3,56.843865
-0.10289,2,56.968618
0.02301,3,57.156345
-0.03005,4,57.417533
-0.022951,2,57.544525
0.003224,4,57.812155
-0.03625,2,57.947789
-0.159137,5,58.274684
-0.015234,1,58.342681
-0.104244,3,58.552657
-0.010891,1,58.61225
0.079025,4,58.885665
-0.019133,5,59.21734
0.028128,5,59.562451
-0.014938,4,59.806368
0.02336,5,60.125101
0.015706,2,60.247863
0.017476,8,60.753995
-0.086569,4,61.00889
-0.004338,4,61.259408
0.053863,2,61.402825
0.04761,1,61.475338
0.002026,4,61.732765
0.024782,3,61.924787
0.044158,5,62.220406
0.035235,3,62.414813
-0.017162,1,62.483045
-0.00815,1,62.559725
0.034567,1,62.632407
-0.016433,3,62.821183
-0.15978,3,63.009993
-0.016175,1,63.06433
-0.094938,1,63.136982
-0.038897,1,63.209923
-0.000261,4,63.460575
0.008445,3,63.640414
-0.154504,4,63.902633
0.014623,2,64.032457
-0.038725,3,64.234812
0.009008,2,64.362406
-0.00542,10,64.988562
-0.00822,5,65.337258
-0.007207,2,65.471789
-0.058061,6,65.849126
-0.007884,5,66.189652
0.024852,2,66.311232
-0.004934,2,66.446011
-0.033788,8,66.962188
-0.044919,1,67.025566
-0.026889,3,67.231752
-0.005346,7,67.633969
0.015783,10,68.272384
-0.032704,4,68.527507
0.008349,2,68.650048
-4.8e-05,2,68.772845
0.013569,3,68.976985
0.052985,3,69.164405
-0.004452,4,69.416039
-0.08333,3,69.613045
-0.091413,6,70.000616
-0.074329,2,70.123398
-0.055384,3,70.308374
0.010648,4,70.552417
-0.018256,2,70.681001
-0.073519,7,71.126776
0.088503,1,71.189507
-0.02153,1,71.262605
0.003243,3,71.460302
0.022025,3,71.638501
0.058796,1,71.7342
0.026167,2,71.853642
-0.122817,4,72.090077
-0.024326,3,72.293693
0.009152,5,72.619618
-0.001031,2,72.747682
0.038201,6,73.127223
-0.000846,3,73.316968
-0.020765,2,73.458316
0.011402,3,73.653777
-0.085317,8,74.13163
-0.06917,2,74.262186
-0.051222,2,74.421666
-0.035999,5,74.728845
-0.029925,1,74.798159
-0.020139,5,75.11023
0.001703,5,75.420797
0.029762,4,75.656385
-0.008072,1,75.733604
0.094367,4,75.99258
-0.048384,3,76.171908
0.019024,1,76.244249
0.002108,1,76.313359
0.03546,3,76.508675
0.015219,1,76.569434
0.005736,6,76.964742
0.011501,2,77.080317
0.026072,1,77.14892
0.018423,7,77.563035
