#{"t_start": 1632852963.2129648, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.008083,2,2.760887
-0.068379,6,3.150946
-0.027359,5,3.481329
-0.004537,1,3.548744
-0.00619,6,3.912976
-0.047692,7,4.361338
-0.034411,8,4.873897
0.033764,6,5.284559
-0.013966,3,5.495594
-0.037353,2,5.609691
0.008906,4,5.880057
-0.01486,3,6.057658
-0.185712,3,6.255035
-0.023863,4,6.51026
-0.082655,1,6.583362
-0.035678,2,6.707204
-0.047159,2,6.840333
-0.027194,1,6.905382
0.035565,4,7.157855
0.063488,2,7.292742
0.047356,5,7.617443
0.008303,2,7.734054
0.018965,2,7.874322
0.031093,2,8.024265
0.02098,2,8.176273
0.017811,5,8.511587
0.059378,4,8.75791
0.013902,3,8.965079
-0.100331,2,9.101275
0.020499,3,9.311347
-0.011075,2,9.446201
-0.012766,5,9.743141
-0.027431,8,10.285702
-0.002817,5,10.61053
-0.011733,3,10.80889
-0.00735,2,10.950894
0.08075,2,11.097621
-0.087692,6,11.472771
-0.028576,7,11.926687
-0.074095,2,12.04924
-0.000601,2,12.171079
-0.17988,2,12.297881
-0.026011,3,12.496756
-0.019725,4,12.763656
0.08631,4,13.016858
0.120063,4,13.262977
-0.07381,6,13.639488
-0.045605,4,13.880355
0.041881,5,14.20492
-0.034272,2,14.345037
-0.032456,2,14.47856
0.010628,3,14.670248
0.034946,3,14.85882
0.123445,2,14.996182
-0.040496,4,15.271676
0.009856,2,15.404762
0.023159,4,15.693758
-0.036802,2,15.820771
-0.05953,2,15.954317
0.009318,1,16.028729
0.013537,2,16.168501
0.01176,3,16.366182
0.080704,4,16.654158
0.008839,5,16.98096
0.033468,1,17.04998
-0.024508,5,17.389372
-0.0541,4,17.655078
0.030079,4,17.919629
-0.036615,4,18.158946
0.021823,6,18.548256
0.052717,2,18.684147
0.016421,5,19.000398
0.036505,1,19.069162
-0.054907,2,19.207973
-0.013428,3,19.387728
-0.015933,1,19.452837
0.121082,1,19.531234
-0.063758,5,19.843538
0.003694,3,20.047925
-0.008141,6,20.431472
-0.010003,2,20.559787
-0.010333,4,20.825086
0.005182,3,21.033186
-0.010905,2,21.148654
0.016861,7,21.592037
-0.006055,3,21.797364
-0.042057,2,21.917343
-0.01759,1,21.981177
0.002029,2,22.123882
0.034428,3,22.323833
0.021751,2,22.433936
0.058385,3,22.637474
0.001208,2,22.779605
-0.039016,4,23.03121
0.017497,3,23.234209
-0.12657,3,23.412864
-0.028371,2,23.540192
-0.039957,1,23.610008
0.015028,2,23.747642
-0.009068,3,23.95001
-0.31644,1,24.010531
-0.197277,5,24.322244
0.018777,2,24.452766
-0.026953,3,24.655044
0.02216,2,24.798162
-0.224144,4,25.049174
-0.038618,4,25.344603
-0.002026,4,25.616639
-0.040757,6,25.990184
0.098015,6,26.394827
-0.025117,3,26.623389
-0.043952,2,26.765164
0.015102,1,26.830277
-0.028141,3,27.032718
-0.141619,2,27.170165
-0.009582,4,27.418087
-0.024727,5,27.741505
0.010807,8,28.264372
0.025848,4,28.505852
-0.07125,3,28.710186
0.030748,1,28.791387
0.008335,6,29.190433
-0.015678,5,29.536606
-0.001029,2,29.679808
-0.017396,9,30.243023
-0.121271,4,30.504523
-0.004398,6,30.889395
-0.07009,2,31.020808
-0.035452,2,31.148708
-0.008116,1,31.212885
0.076126,4,31.472177
-0.009218,5,31.80369
-0.022462,7,32.242436
-0.013024,9,32.833153
0.012412,5,33.167397
-0.014843,3,33.355286
0.037227,1,33.42946
0.207432,4,33.712368
0.130505,3,33.922273
0.010204,4,34.20011
0.034734,2,34.333315
0.003024,4,34.589568
0.034801,2,34.70915
0.074216,7,35.171588
-0.041034,3,35.367069
-0.09204,4,35.648855
-0.021383,4,35.91588
-0.012469,2,36.070453
0.076314,5,36.377429
0.01328,1,36.432842
0.020103,2,36.570243
-0.026111,2,36.712023
-0.103678,2,36.849115
-0.008812,5,37.186851
0.024573,1,37.251458
0.001755,1,37.324434
-0.010092,2,37.447825
-0.008743,2,37.582273
-0.052319,3,37.802188
-0.05795,2,37.941103
-0.030302,2,38.094673
0.026931,4,38.390289
-0.123009,2,38.532354
0.084364,3,38.727017
-0.015039,2,38.865719
0.002418,3,39.082094
0.03726,2,39.211563
-0.010581,2,39.340997
0.008032,4,39.601115
0.046767,4,39.867846
-0.007111,10,40.54588
0.007137,2,40.668633
0.048706,2,40.818833
0.068189,7,41.287407
-0.023654,1,41.355831
0.000866,3,41.53932
0.032944,3,41.717689
0.047452,1,41.776015
0.013821,1,41.844003
-0.112463,3,42.018191
0.030142,5,42.358923
-0.032983,4,42.59846
0.019049,3,42.789334
0.0186,3,42.984296
0.022339,3,43.187356
-0.013337,4,43.429616
-0.016798,1,43.492444
-0.018961,2,43.633593
-0.082188,3,43.829649
-0.123026,3,44.029454
0.026465,2,44.140428
-0.070331,3,44.321318
-0.114777,2,44.463633
0.017419,3,44.658064
-0.110711,1,44.722367
0.057609,4,44.981399
0.014752,4,45.225309
-0.13153,4,45.488297
0.009441,4,45.772079
0.206489,2,45.896048
-0.026525,7,46.353158
-0.023752,5,46.655869
0.007461,7,47.084403
-0.012702,3,47.284165
-0.025643,2,47.407065
-0.020646,4,47.677873
0.01532,2,47.809539
-0.013657,5,48.130394
-0.06117,2,48.265905
0.053841,2,48.389713
0.024564,1,48.467452
-0.012069,6,48.880333
-0.025727,2,48.994451
-0.003104,5,49.346807
-0.041653,3,49.523032
-0.012208,3,49.731085
-0.033075,3,49.933583
0.055542,4,50.201814
-0.06257,2,50.339795
-0.043165,3,50.51913
0.010208,4,50.760772
0.04091,4,51.027466
-0.091505,2,51.158096
0.00491,4,51.432225
-0.004129,6,51.796403
0.065176,4,52.072169
-0.009621,4,52.309196
-0.038896,5,52.625699
-0.062575,5,52.967075
-0.040062,5,53.277847
-0.109559,1,53.345934
0.032189,2,53.464686
0.053066,7,53.918615
0.038617,4,54.182961
-0.054716,2,54.315587
-0.053596,2,54.460954
-0.158968,1,54.518535
-0.089192,1,54.586795
-0.069398,2,54.723638
0.108667,3,54.917596
-0.057853,3,55.112264
-0.026652,3,55.304168
-0.010008,2,55.436275
0.02898,5,55.770718
0.012039,4,56.022481
0.001039,2,56.163485
-0.07417,3,56.354257
0.024989,2,56.478427
0.00407,4,56.739246
-0.031324,4,56.991358
-0.005995,3,57.186885
0.021436,5,57.490188
-0.012486,4,57.765953
0.012844,3,57.964693
0.049314,4,58.219591
-0.007251,1,58.301522
-0.115845,7,58.767293
0.02259,4,59.034216
-0.000663,1,59.099117
-0.042818,3,59.303838
-0.005777,1,59.376211
-0.066226,5,59.696245
-0.162841,2,59.837597
-0.006689,7,60.270165
-0.061299,1,60.33288
-0.00735,2,60.459156
0.091293,4,60.709122
-0.02979,2,60.8444
0.022164,4,61.081134
-0.011467,3,61.282601
0.005502,1,61.348127
0.018323,3,61.551585
0.028785,3,61.750962
-0.126752,7,62.17927
0.002354,1,62.241352
0.074312,4,62.500359
0.071665,3,62.708005
-0.001179,6,63.087029
0.02152,2,63.227588
0.050866,2,63.346129
0.024156,5,63.653571
0.028021,4,63.915717
-0.029081,3,64.122325
0.016352,2,64.260798
-0.026217,2,64.389351
-0.098229,3,64.557453
-0.016175,1,64.630908
-0.084916,2,64.764028
-0.008509,4,65.020342
-0.016583,2,65.15288
