#{"t_start": 1632852963.1945205, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.00634,2,2.733816
-0.124942,3,2.928292
-0.016739,5,3.257152
-0.003885,2,3.395645
0.011491,1,3.451051
-0.059424,4,3.699869
-0.064152,6,4.069359
0.035499,4,4.330752
-0.033717,5,4.664227
-0.028483,4,4.920903
0.010897,4,5.199576
-0.034612,4,5.451196
-0.131635,6,5.849139
-0.010955,4,6.094424
-0.035604,5,6.424823
-0.020654,4,6.671909
-0.056094,2,6.814928
-0.01276,4,7.059788
0.027595,2,7.196119
0.074443,2,7.334639
0.05216,3,7.534828
-0.024693,6,7.918767
0.005031,2,8.076463
0.034024,3,8.28572
0.027145,3,8.470533
0.024581,2,8.609569
0.044522,1,8.678015
-0.002573,2,8.80423
-0.119326,5,9.154325
0.014599,4,9.424919
0.003237,6,9.786589
0.014253,1,9.849996
0.015929,2,9.984698
0.000488,4,10.250755
-0.019695,4,10.514991
-0.00656,4,10.784126
0.074776,1,10.851787
-0.044633,3,11.072196
-0.092663,2,11.197524
-0.066421,1,11.255044
-0.001945,2,11.387713
-0.144652,6,11.752701
-0.015323,4,12.032707
-0.055491,2,12.1423
0.006719,2,12.281304
0.102502,3,12.466974
-0.152087,3,12.668962
-0.019949,8,13.190994
0.063709,5,13.490197
-0.043514,2,13.617825
-0.001818,5,13.923144
0.013362,6,14.314351
0.029503,4,14.580507
0.115419,6,14.966629
-0.060255,3,15.179105
0.005667,1,15.244071
0.021124,1,15.314548
-0.084056,3,15.51608
-0.042944,2,15.66157
0.02605,3,15.8642
0.010591,5,16.210817
0.014744,5,16.550991
0.054847,4,16.811311
0.002547,5,17.166522
0.041526,4,17.437214
-0.012819,2,17.562534
-0.080766,3,17.767157
0.034556,2,17.888704
-0.06568,4,18.137692
0.012825,2,18.263244
0.046069,4,18.516538
0.011556,4,18.787004
0.045271,6,19.172863
-0.04838,2,19.297468
-0.025202,2,19.430105
-0.021442,6,19.816744
0.197843,3,20.022788
-0.03143,3,20.211769
0.035004,4,20.479039
0.003783,6,20.866535
-0.009635,2,20.992644
-0.013143,4,21.252795
-0.002419,2,21.382698
-0.014057,3,21.56899
0.037398,5,21.891686
-0.006914,5,22.242834
-0.01586,4,22.48122
-0.014787,4,22.752468
0.001473,3,22.937881
0.018785,4,23.197852
0.031751,2,23.341175
0.045222,3,23.509572
0.003899,2,23.656897
-0.033638,4,23.919435
0.059088,2,24.047529
-0.109966,4,24.299664
-0.005082,5,24.62512
-0.039957,1,24.706612
0.000546,4,24.958438
-0.014592,1,25.027448
-0.31644,1,25.091475
-0.142944,2,25.22612
0.017865,2,25.394313
-0.008804,13,26.226046
-0.026983,9,26.87571
-0.234505,2,27.016062
-0.059831,3,27.218162
-0.011458,5,27.515348
-0.13861,3,27.715666
0.104485,1,27.783825
-0.022619,2,27.897859
-0.037518,2,28.04052
0.033188,3,28.233335
-0.032841,2,28.367527
-0.093185,3,28.553085
-0.013894,2,28.677707
-0.024443,1,28.758573
-0.075041,3,28.963516
-0.021796,1,29.0372
-0.012239,5,29.365506
0.028082,5,29.718457
0.007034,3,29.897488
-0.018109,1,29.972207
-0.00171,2,30.092207
-0.027299,4,30.349621
-0.114213,4,30.609198
-0.011638,7,31.060189
-0.047841,2,31.187034
-0.039089,3,31.377949
-0.001219,2,31.524608
0.115847,3,31.707875
-0.011119,3,31.902764
-0.029952,3,32.087603
-0.065738,6,32.493322
0.018224,2,32.626538
-0.015191,4,32.876056
0.01873,3,33.078777
0.119259,2,33.206239
0.119339,3,33.394743
0.01721,4,33.682415
0.023046,1,33.750724
-0.000457,2,33.889374
0.014184,6,34.310715
0.088652,3,34.513241
-0.004786,4,34.756125
-0.06651,1,34.819494
-0.017767,6,35.218375
-0.017643,3,35.420928
0.092503,3,35.622468
0.018237,3,35.819546
0.040311,2,35.962564
-0.022286,3,36.172649
-0.087837,6,36.543848
-0.029449,2,36.671925
0.024573,1,36.754488
0.027456,4,37.038416
0.002255,4,37.294233
0.003158,5,37.633883
-0.042269,4,37.919351
-0.053966,3,38.154598
-0.019222,2,38.290727
-0.009068,11,39.051101
-0.072659,1,39.125341
0.068572,3,39.314646
-0.018509,1,39.382953
0.005224,4,39.648431
0.046455,6,40.057023
-0.006752,1,40.116011
-0.001511,7,40.587647
0.056122,2,40.71113
-0.028088,3,40.925292
0.012141,2,41.054772
0.048973,3,41.251091
0.067522,10,41.881402
-0.006448,3,42.056135
-0.007426,1,42.141581
0.022182,2,42.264421
0.044937,6,42.645365
0.010258,5,42.967655
0.005967,8,43.471393
0.01982,2,43.607255
-0.006139,6,44.003311
0.026326,3,44.17924
0.027835,3,44.373666
0.020139,3,44.559195
-0.00807,7,45.018676
-0.009899,4,45.267784
-0.006556,2,45.405624
-0.063133,3,45.60374
-0.098392,2,45.722502
0.014094,5,46.071803
-0.037315,3,46.258283
-0.123304,1,46.322707
-0.010318,7,46.755811
-0.084097,5,47.054368
0.034453,6,47.458221
-0.007679,3,47.647531
-0.111302,6,48.02872
0.015099,3,48.227071
0.162191,1,48.304708
-0.081984,3,48.509841
-0.05651,2,48.664241
0.03496,4,48.91848
