#{"t_start": 1632852963.2111118, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.002254,1,2.68771
-0.108998,2,2.828928
-0.020306,2,2.958427
0.014791,5,3.273235
-0.001516,2,3.411939
-0.0647,5,3.720916
-0.040099,2,3.848899
0.039288,5,4.162305
-0.02959,5,4.500075
-0.048011,2,4.626046
0.014064,4,4.868055
-0.028854,4,5.150963
-0.210113,2,5.278824
-0.02911,3,5.489772
-0.028963,4,5.737175
-0.026637,1,5.805264
-0.050191,1,5.874289
-0.024397,2,5.993169
0.023958,1,6.051888
0.049494,2,6.184736
0.034844,9,6.771009
0.012847,3,6.967871
0.007459,3,7.15208
0.017603,5,7.491171
0.017291,4,7.72821
0.016794,3,7.949257
0.028137,5,8.307256
0.009727,3,8.505842
-0.103154,3,8.692454
0.018758,3,8.894708
-0.018132,1,8.959289
0.010883,4,9.237274
0.012054,1,9.304681
-0.000968,6,9.676489
-0.00557,4,9.938899
-0.004185,2,10.076537
0.075752,3,10.279493
-0.055656,3,10.467176
-0.020285,8,11.028226
-0.023898,5,11.348902
-0.027437,6,11.709542
-0.136808,2,11.843435
-0.038257,4,12.103374
-0.052166,1,12.165275
0.073767,3,12.365218
0.126275,4,12.620565
-0.059483,8,13.142388
-0.040601,4,13.386568
0.070253,1,13.450816
-0.032882,2,13.574412
-0.009181,4,13.819555
0.020429,4,14.069937
0.025157,2,14.198858
0.207908,2,14.339308
-0.071456,6,14.725674
0.011965,3,14.926844
0.008372,6,15.353871
-0.064823,3,15.536882
-0.047061,5,15.888703
0.009318,1,15.948414
0.013636,3,16.162625
0.020405,4,16.429845
0.084116,3,16.648135
0.002199,3,16.85035
0.033468,2,16.975141
-0.034705,3,17.193111
-0.048979,1,17.257598
0.017525,4,17.517777
-0.048399,3,17.718241
0.02088,6,18.093663
0.061088,2,18.223166
0.006574,5,18.542379
0.05238,3,18.742779
-0.069843,2,18.891268
0.011821,4,19.132728
-0.015933,1,19.20203
0.126119,5,19.525489
-0.062014,5,19.837661
-0.003876,3,20.042097
0.015639,2,20.167195
-0.011172,2,20.305465
-0.008705,2,20.425626
-0.001716,3,20.623444
-0.020941,2,20.749662
0.043531,3,20.947949
-0.019372,1,21.027435
0.007788,5,21.338927
-0.033566,5,21.659937
-0.007899,4,21.911569
0.029225,3,22.117989
0.054419,4,22.377545
0.055128,2,22.50137
0.013424,5,22.842951
-0.026834,6,23.228436
0.020201,5,23.534251
-0.195191,3,23.741943
-0.031277,3,23.944257
-0.037125,3,24.143056
0.007409,4,24.397515
-0.005348,2,24.532028
-0.170615,7,24.983418
-0.127261,2,25.116426
-0.017979,4,25.416727
