#{"t_start": 1632852963.1963406, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.005085,5,2.934112
-0.078236,4,3.194558
-0.018406,4,3.456883
0.010325,5,3.770046
-0.005386,4,4.007005
-0.047987,4,4.263256
-0.049772,3,4.469248
0.018293,1,4.544716
-0.018346,1,4.602581
-0.038271,1,4.670179
0.003027,2,4.792439
-0.012731,2,4.926741
-0.126656,1,4.99498
-0.025903,2,5.113238
-0.067549,3,5.323601
-0.043587,2,5.457106
-0.068102,7,5.9229
-0.035549,3,6.100216
0.040516,2,6.229511
0.076895,3,6.430637
0.053193,2,6.554129
0.008764,2,6.677822
0.009434,4,6.944168
0.037358,2,7.065601
0.000301,4,7.340439
0.018255,7,7.778309
0.034596,3,7.999482
-0.01255,7,8.476757
-0.089912,2,8.615467
0.019889,5,8.935237
-0.008944,3,9.160561
0.013588,2,9.276906
0.012054,1,9.361442
-0.004607,3,9.540587
-0.016253,1,9.598568
-0.007663,1,9.653767
0.074531,3,9.855865
-0.050884,6,10.256616
-0.07514,2,10.384188
-0.032744,3,10.577241
-0.001945,2,10.72409
-0.210051,2,10.857563
-0.024966,2,10.994872
-0.031994,2,11.141972
0.073759,3,11.320144
0.09916,3,11.516139
-0.098029,1,11.570728
-0.048987,3,11.758507
0.070253,1,11.828614
-0.004262,8,12.346206
-0.011348,4,12.596169
0.017795,5,12.918868
0.012232,2,13.064675
0.123445,2,13.196796
-0.049963,2,13.306464
0.005667,1,13.371845
0.035155,2,13.496033
-0.043727,1,13.559716
-0.040542,5,13.864917
0.023078,3,14.046438
0.009962,2,14.179212
0.024769,3,14.393666
0.070564,2,14.526482
0.002614,4,14.775661
0.033468,1,14.829233
-0.015938,1,14.90261
-0.048979,1,14.972787
0.031703,4,15.249958
-0.08705,5,15.582596
0.012825,2,15.738504
0.035332,4,15.998435
0.01754,2,16.133404
0.062258,2,16.277393
-0.06165,3,16.479006
0.008215,6,16.894368
-0.019833,6,17.303226
0.192339,2,17.443221
-0.031484,3,17.629338
-0.026174,1,17.694927
0.017828,3,17.89465
-0.026906,4,18.143592
-0.022834,2,18.269249
0.001753,9,18.85803
0.014966,7,19.303406
0.054278,3,19.49242
-0.009298,2,19.628359
-0.056544,1,19.684016
-0.013225,3,19.897043
0.001603,3,20.091375
0.026747,1,20.151703
0.035939,2,20.282012
0.059737,4,20.544007
0.006774,5,20.872894
-0.059153,5,21.193079
-0.0168,8,21.710456
-0.101272,4,21.961022
-0.008537,5,22.299755
-0.040938,5,22.621911
0.009303,5,22.94376
-0.010246,2,23.075185
-0.279832,3,23.278394
-0.209869,5,23.584415
0.00865,1,23.662737
-0.005708,2,23.787205
0.026784,7,24.236698
-0.243822,4,24.490875
-0.054395,3,24.712396
-0.013727,6,25.097288
-0.162259,3,25.301054
0.103928,3,25.523437
-0.04982,6,25.90884
-0.042064,2,26.040398
0.028664,5,26.354924
-0.028236,1,26.452312
-0.084555,1,26.531541
-0.019462,3,26.72864
-0.020195,2,26.882293
-0.062239,1,26.955731
0.011733,4,27.224017
-0.042924,2,27.346462
0.007242,6,27.721585
-0.003278,1,27.789702
-0.011329,2,27.903801
0.011939,5,28.239262
-0.034945,3,28.432745
-0.080872,5,28.764455
0.031104,4,29.043108
-0.054102,2,29.162371
-0.040122,3,29.371581
-0.030176,4,29.635556
0.086296,3,29.837795
-0.002438,5,30.153087
-0.03436,3,30.355451
-0.038471,2,30.468746
0.018271,2,30.615197
-0.015576,2,30.728467
0.039296,2,30.849078
0.119259,2,30.998409
0.089784,4,31.257568
-0.005282,2,31.384411
0.033147,5,31.713794
-0.003158,3,31.909018
0.005119,6,32.290519
0.064177,4,32.563748
-0.064796,2,32.677464
-0.074297,2,32.806565
0.004962,3,33.014131
-0.019609,4,33.263135
0.07585,3,33.471375
0.01328,1,33.54193
0.017294,2,33.688314
-0.030953,2,33.815917
-0.148754,3,34.029443
-0.047503,2,34.174935
0.047041,3,34.377103
0.014281,3,34.569425
0.003527,6,34.934345
0.006161,1,35.008431
-0.026102,7,35.493404
-0.047332,1,35.549174
-0.019222,2,35.697946
0.076747,2,35.825453
-0.062462,2,35.968483
0.071324,3,36.178567
-0.031282,6,36.549701
