#{"t_start": 1632852963.2092946, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.00073,4,2.882937
-0.108998,2,3.016643
-0.043257,5,3.355153
0.008877,3,3.541613
-0.005401,3,3.715116
-0.031029,9,4.290154
-0.023328,2,4.422622
0.03379,2,4.558022
-0.023899,4,4.803581
-0.029005,3,5.017267
0.002992,2,5.145166
-0.020292,2,5.273008
-0.129685,3,5.483929
-0.029622,3,5.667556
-0.073434,3,5.868423
-0.016908,4,6.123012
-0.085705,3,6.311694
-0.028805,3,6.503113
0.045391,3,6.700043
0.049494,2,6.833199
0.046815,5,7.146258
0.006107,2,7.285635
0.022474,2,7.420269
0.031095,4,7.665499
0.009051,4,7.943441
0.025758,2,8.102211
0.039703,6,8.499877
0.001811,2,8.633175
-0.045022,6,9.037445
0.029125,7,9.499579
7e-05,5,9.808029
0.007829,3,10.004567
0.006455,2,10.144893
0.001794,4,10.4056
-0.016253,1,10.461374
0.001972,3,10.676619
0.074776,1,10.740962
-0.032743,2,10.875186
-0.060116,2,11.022403
-0.068428,2,11.157078
-0.005913,5,11.465507
-0.144074,3,11.65366
-0.031599,4,11.919536
-0.022579,3,12.097467
0.037325,5,12.426197
0.079322,3,12.614752
-0.101242,2,12.756587
-0.061429,1,12.815827
0.070253,1,12.872094
-0.024762,4,13.136537
-0.036444,3,13.329515
0.000783,8,13.813746
0.028935,3,14.001061
0.095328,5,14.333451
-0.0418,2,14.471287
0.011737,2,14.599672
0.021124,1,14.662767
-0.080335,3,14.85137
-0.065505,5,15.198458
0.015318,2,15.348023
0.024761,3,15.531031
0.014466,4,15.813455
0.060069,5,16.156665
-0.006363,2,16.303695
0.056907,4,16.5857
-0.049706,4,16.844481
-0.073084,2,16.969101
0.022521,1,17.042228
-0.08359,3,17.25155
0.016882,3,17.460824
0.05239,3,17.647783
0.014799,5,17.980537
0.028353,6,18.349709
-0.04511,3,18.536228
-0.035742,2,18.67697
-0.045055,3,18.885275
0.174649,3,19.061925
-0.00704,2,19.19612
0.017058,9,19.775584
0.015718,3,19.977943
-0.01233,2,20.109159
-0.018924,2,20.236271
-0.026402,6,20.617477
-0.003418,6,21.021281
0.036827,4,21.267796
-0.002926,4,21.523249
-0.035903,4,21.790861
-0.015141,3,21.973956
-0.005685,1,22.042709
0.026747,1,22.112181
0.039813,7,22.574548
0.002745,7,23.02406
-0.005768,2,23.156567
-0.03523,2,23.291746
0.028127,5,23.602877
-0.104299,4,23.874654
-0.035145,3,24.071093
-0.04521,7,24.526208
0.004758,4,24.791096
-0.008025,11,25.544244
-0.364288,2,25.671769
-0.127261,2,25.806844
0.005925,4,26.074659
-0.008253,5,26.385246
0.018961,2,26.55085
-0.357754,4,26.822879
-0.033974,5,27.158189
-0.007566,3,27.360842
-0.072824,5,27.665523
0.093034,5,27.995744
-0.040166,2,28.122762
-0.027426,5,28.449426
0.028685,6,28.857237
-0.021772,2,28.986996
-0.088364,5,29.319781
-0.016331,2,29.463217
-0.024357,3,29.672553
-0.047382,3,29.856595
0.022509,5,30.170772
-0.015428,5,30.491691
0.037298,2,30.639956
-0.003652,3,30.807434
-0.023069,4,31.089046
0.007505,3,31.275572
-0.004691,7,31.745201
-0.148588,1,31.796213
