#{"t_start": 1632853567.3313224, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.047512,3,2.64892
0.019094,3,2.755713
-0.002574,3,2.839155
0.008839,4,2.949166
-0.087429,1,2.983321
-0.000906,2,3.046361
0.023837,7,3.256581
0.013571,3,3.341592
0.081656,5,3.481065
0.036901,2,3.532354
0.034933,1,3.568631
0.030099,3,3.661664
-0.005881,4,3.781343
0.018912,2,3.842183
0.101666,3,3.937485
0.060056,2,3.998109
0.079038,2,4.061579
0.100869,2,4.130678
-0.02673,3,4.212498
0.026874,5,4.35323
-0.100786,6,4.521483
-0.063274,3,4.609097
-0.026047,2,4.66916
0.001185,1,4.700131
0.046883,3,4.799024
0.03037,2,4.850296
0.059993,2,4.916398
0.038628,3,4.994171
0.038868,5,5.155072
-0.014121,5,5.293372
-0.011942,5,5.428274
0.018578,6,5.595483
-0.109815,4,5.719655
-0.050715,2,5.787519
0.117706,3,5.866057
-0.00494,1,5.908471
0.004463,5,6.050956
0.019249,5,6.184468
0.038502,1,6.219428
-0.005074,4,6.332163
0.008904,4,6.439263
0.042655,7,6.630949
0.027119,4,6.757373
0.005666,2,6.81299
-0.012646,2,6.86942
0.022157,3,6.964401
-0.018289,3,7.045382
-0.001918,1,7.070203
-0.070788,2,7.134449
0.041791,1,7.16053
0.029972,3,7.254829
0.020893,4,7.36319
0.003505,5,7.524516
0.024557,2,7.568774
0.10958,2,7.630278
-0.084902,4,7.757822
-0.046299,1,7.783332
0.012194,1,7.815588
-0.014295,2,7.877219
0.049964,2,7.933795
0.022119,2,7.993504
0.026491,1,8.027617
0.004041,3,8.112954
0.028474,4,8.221758
-0.052483,2,8.276309
-0.021782,3,8.366743
0.01782,3,8.466272
0.016825,1,8.50227
-0.02142,3,8.581619
-0.061896,2,8.631495
0.006223,4,8.749246
0.011759,2,8.824991
-0.003088,2,8.88657
-0.119581,1,8.92688
0.05758,5,9.066277
0.018414,5,9.193731
0.107872,2,9.262604
0.029651,3,9.34441
-0.013925,3,9.430304
-0.026693,3,9.512686
0.04125,2,9.576334
0.029337,2,9.639397
0.015101,3,9.735101
0.00115,2,9.796799
-0.08663,3,9.887143
0.046922,4,9.995718
0.004567,5,10.130034
0.06116,2,10.184134
-0.033241,5,10.328332
0.020964,2,10.379457
0.015906,1,10.41557
-0.030973,5,10.553462
-0.062452,4,10.661371
0.014416,2,10.72541
0.019566,2,10.780014
0.003485,5,10.912752
0.03091,7,11.112219
-0.019399,1,11.140706
0.026898,2,11.194495
0.07285,1,11.224287
-0.014375,1,11.258727
0.004351,5,11.411004
0.004665,3,11.49755
0.005149,3,11.581331
0.020908,4,11.691086
-0.037134,3,11.788405
0.017363,3,11.869417
-0.018514,2,11.916276
-0.072203,5,12.060098
0.042416,1,12.08958
0.055049,2,12.149824
0.051722,3,12.238988
-0.082305,4,12.37381
0.045726,3,12.447283
0.025579,2,12.510718
-0.083742,2,12.560787
-0.019448,4,12.677587
0.00452,2,12.731687
-0.06406,9,12.9902
-0.034476,2,13.041454
-0.007342,4,13.145658
-0.001307,3,13.218776
0.024209,9,13.461445
-0.002977,2,13.523102
0.009898,5,13.664886
0.075724,4,13.781114
-0.062812,3,13.860105
-0.02223,3,13.943806
0.021749,4,14.044373
-0.130313,2,14.117736
-0.023673,3,14.215294
0.018799,1,14.24458
-0.051881,3,14.343257
0.022239,2,14.401871
0.051433,2,14.45576
0.015812,3,14.539983
-0.252295,2,14.609297
0.059278,3,14.699267
-0.029877,1,14.72911
0.148458,3,14.812373
0.019334,1,14.842311
0.017352,5,14.986405
-0.047499,1,15.011706
0.034665,2,15.065382
0.036344,1,15.095782
-0.044369,2,15.155955
0.026227,5,15.290349
0.058219,4,15.398
0.003343,2,15.457094
0.075387,5,15.588716
0.01838,4,15.709008
0.018295,2,15.773394
-0.013846,2,15.827918
-0.025361,2,15.891726
0.017414,2,15.956262
0.049351,4,16.066739
0.001642,2,16.126811
0.028496,3,16.209922
0.012229,2,16.269308
0.019131,2,16.333775
-0.107046,1,16.363839
0.107911,4,16.48243
-0.002599,5,16.612004
-0.026461,3,16.692301
0.045025,3,16.790602
0.0268,3,16.878731
0.154835,2,16.92862
0.045146,2,16.986197
0.064775,4,17.109576
0.00535,2,17.168096
0.007841,1,17.196644
0.00495,4,17.301131
0.067597,2,17.364773
0.020595,3,17.438568
0.009108,5,17.577152
0.02677,4,17.684873
-0.026037,2,17.743339
-0.006305,2,17.807366
0.052284,3,17.889633
-0.071161,3,17.978949
0.034911,3,18.068863
-0.0464,4,18.178096
0.095496,1,18.212616
-0.111795,3,18.2967
-0.016551,5,18.433901
0.011562,1,18.464169
0.009334,4,18.583095
0.038691,4,18.690193
-0.032072,1,18.724522
0.028758,3,18.802948
-0.003774,2,18.861459
0.021946,2,18.908619
0.028623,5,19.062399
0.038486,3,19.151789
0.019697,3,19.230321
-0.009462,9,19.45586
-0.164879,2,19.505638
-0.026805,1,19.537267
-0.169575,2,19.596359
0.083046,2,19.65094
-0.037283,4,19.749248
0.026048,4,19.867367
0.222218,4,19.980658
-0.021692,2,20.035974
0.008104,3,20.125147
0.048127,2,20.188483
0.006913,3,20.274129
-0.085713,1,20.29947
-0.026172,2,20.347459
0.022256,4,20.459926
0.06253,1,20.484571
0.008042,5,20.628213
0.027104,3,20.740799
0.087677,2,20.78612
0.01591,4,20.899885
0.031928,3,20.987931
-0.021875,5,21.114954
-0.01977,2,21.168467
-0.033002,4,21.281931
0.013293,2,21.335743
0.078135,1,21.365442
-0.04665,1,21.404442
0.130055,2,21.463337
0.06067,5,21.609748
-0.048881,1,21.638443
0.050534,2,21.696792
0.0163,2,21.758994
0.029142,2,21.813689
0.036559,2,21.873055
-0.138161,2,21.93201
-0.036317,5,22.073348
0.03612,2,22.132354
0.047712,1,22.161418
0.006104,2,22.211212
-0.003389,3,22.3052
0.010112,3,22.377779
-0.017947,6,22.538632
0.027398,2,22.597402
0.041311,1,22.627295
0.043755,2,22.689436
0.066709,2,22.744284
-0.054013,2,22.797881
-0.155156,2,22.851946
0.020193,1,22.881413
0.009729,1,22.905377
0.046645,2,22.969842
-0.011541,2,23.023623
0.058778,3,23.113791
0.007454,3,23.190374
-0.042823,4,23.293733
0.043135,2,23.346663
0.005897,5,23.477296
0.032865,4,23.596888
-0.094171,2,23.660776
-0.002549,2,23.709454
-0.007083,3,23.792616
-0.022911,3,23.870372
0.102102,5,24.013817
-0.008915,1,24.043849
0.056354,2,24.103454
-0.021052,2,24.161258
-0.011731,5,24.283244
-0.044305,3,24.375669
0.041605,6,24.527226
0.023936,1,24.551131
-0.093575,5,24.687951
-0.036523,1,24.717245
0.004603,2,24.780873
-0.028555,3,24.863512
0.017248,5,25.00045
-0.071121,3,25.082776
0.015278,1,25.111813
0.102883,1,25.141099
-0.041673,3,25.220063
-0.032925,5,25.350869
-0.005477,5,25.506785
-0.00222,2,25.566899
0.013842,2,25.625984
-0.035628,2,25.689841
0.042541,3,25.768101
0.003294,4,25.882141
0.012266,3,25.970973
0.011415,4,26.090192
0.008498,3,26.167764
-0.006466,2,26.231428
-0.008554,3,26.313003
-0.079559,4,26.41594
0.007757,2,26.481175
-0.000504,3,26.577175
0.006789,2,26.635495
0.02882,1,26.664805
0.041508,2,26.724221
-0.012644,1,26.763541
0.064699,4,26.882745
0.010099,4,27.005586
-0.046536,2,27.055132
0.027294,3,27.136563
0.02408,2,27.196172
-0.007182,2,27.246482
-0.025601,3,27.337615
-0.03487,2,27.388023
0.002642,2,27.456692
-0.012658,2,27.512937
0.027286,3,27.586715
-0.004711,6,27.744851
-0.031505,3,27.829996
0.009849,6,27.992252
0.008983,2,28.046149
0.022316,2,28.106277
-0.011427,5,28.238891
0.045555,3,28.331486
0.017007,6,28.49498
0.053186,1,28.529941
0.027421,6,28.697864
0.020627,3,28.786445
0.108643,2,28.845289
0.022867,3,28.923345
-0.042692,4,29.028591
0.051009,3,29.105525
-0.037751,2,29.160148
-0.004829,3,29.248991
0.154515,2,29.307988
-0.082724,1,29.336497
-0.084966,3,29.429201
0.000393,3,29.520372
0.016661,2,29.579717
-0.014814,4,29.688743
0.032935,4,29.785428
-0.029846,3,29.870237
0.011086,2,29.923233
0.028309,3,30.001782
-0.00588,1,30.04109
0.048061,1,30.075487
0.079909,3,30.15235
0.000469,3,30.235602
-0.020627,5,30.382833
0.200959,3,30.471349
-0.0047,2,30.530769
-0.015813,4,30.656268
0.007392,2,30.711334
-0.045694,5,30.842333
-0.127748,3,30.926241
0.018826,2,30.985411
0.002838,1,31.015534
0.017556,2,31.074449
-0.02062,5,31.232831
0.06611,2,31.286305
-0.001433,2,31.341721
-0.049344,3,31.434575
-0.023625,1,31.465181
-0.00874,2,31.525611
0.013524,2,31.58459
0.054755,1,31.611326
0.036827,1,31.653656
-0.084727,3,31.7393
-0.029177,3,31.823843
0.051463,3,31.909997
-0.064403,7,32.105822
-0.072624,2,32.158839
-0.121415,1,32.188216
