#{"t_start": 1632853567.3267121, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.077564,3,2.64184
0.018078,1,2.682151
0.002104,1,2.7241
0.024246,4,2.83062
-0.136547,2,2.892674
-0.003387,3,2.972265
0.02114,3,3.070806
0.020827,2,3.130924
0.113642,3,3.219803
0.031828,1,3.245427
0.038207,4,3.369485
0.026659,2,3.424266
-0.009137,3,3.505053
0.024496,4,3.623561
0.075406,2,3.692262
0.075741,3,3.769691
0.058573,2,3.835471
0.087582,4,3.961416
-0.007501,1,3.986709
0.033924,4,4.124672
-0.071657,4,4.24142
-0.078733,3,4.325869
-0.02357,2,4.38219
0.027086,5,4.514758
0.039211,1,4.544763
0.0272,1,4.580509
0.049369,4,4.693023
0.019071,2,4.755239
0.033302,5,4.904948
-0.005261,4,5.029203
-0.016448,2,5.085674
0.029266,1,5.11581
-0.069405,1,5.148266
-0.046198,2,5.209635
0.088684,4,5.316517
-0.00494,1,5.341712
0.023242,2,5.401575
0.022336,7,5.589195
0.053562,2,5.658267
-0.040685,2,5.712202
0.011207,4,5.838128
0.030125,2,5.894686
0.035023,2,5.957605
0.012523,2,6.013404
-0.024654,2,6.075406
0.018363,5,6.212783
-0.019819,4,6.325408
-0.001918,1,6.355782
0.001966,5,6.492178
0.081836,5,6.624269
0.032287,2,6.69177
0.037462,2,6.750757
0.018459,3,6.843203
0.033124,3,6.923168
0.125562,1,6.953241
-0.071989,5,7.098649
0.007616,5,7.24751
0.016391,3,7.332071
-0.010666,2,7.39207
0.022337,4,7.513523
0.017808,3,7.598366
0.026491,1,7.623701
0.0084,4,7.746587
0.049135,3,7.840766
-0.046197,2,7.900988
-0.016148,3,7.982318
0.013389,5,8.135356
0.012071,5,8.27055
-0.052892,2,8.334134
0.007675,5,8.49577
-0.000736,8,8.712743
0.00869,3,8.813857
-0.006855,3,8.915601
-0.183736,2,8.985184
0.040941,4,9.089757
0.017647,6,9.256749
0.101341,4,9.369874
0.032692,2,9.419291
-0.038784,4,9.537213
-0.022946,5,9.701079
0.022266,1,9.727945
0.033438,4,9.847862
0.01329,1,9.879725
0.002596,6,10.045242
-0.090203,3,10.118969
0.024887,4,10.228096
0.006322,2,10.294999
0.043548,4,10.408806
-0.07849,4,10.522375
0.028083,4,10.630387
0.015906,1,10.655033
-0.057849,2,10.714405
-0.036915,6,10.877044
0.012683,1,10.907111
0.015925,3,10.988889
-0.016412,4,11.105864
0.050175,3,11.188776
-0.053101,4,11.317299
0.032168,3,11.399758
0.069722,6,11.574759
-0.027252,3,11.653013
0.044401,2,11.72153
0.006234,8,11.945709
