#{"t_start": 1632853816.4036286, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.001922,5,2.750817
0.050249,4,2.820505
-0.015416,2,2.863626
-0.013183,3,2.920213
0.0099,2,2.964511
-0.023604,3,3.027416
0.06216,3,3.093653
0.017507,6,3.217685
0.093784,1,3.235475
-0.03036,1,3.256464
-0.005851,2,3.299509
0.010243,3,3.356939
0.007346,4,3.427882
0.007632,5,3.533566
0.064413,1,3.560188
0.013072,1,3.582439
-0.019574,2,3.626743
-0.002481,3,3.688179
0.032104,3,3.750413
-0.017283,2,3.797768
0.020907,1,3.81819
-0.102912,1,3.835628
-0.184216,3,3.89466
0.266118,3,3.960155
-0.025236,3,4.021419
-0.028479,10,4.205662
-0.081638,5,4.309042
-0.015757,3,4.363728
-0.001935,1,4.385375
-0.00468,2,4.428483
-0.009213,4,4.508792
-0.014502,2,4.548667
-0.013206,2,4.583189
-0.010553,1,4.602157
0.009559,3,4.675777
0.052139,2,4.714675
0.029871,5,4.809563
-0.026423,1,4.832471
-0.098267,3,4.901336
-0.012962,2,4.945852
-0.038471,2,4.985325
-0.021196,4,5.064784
0.127215,6,5.193218
-0.006325,5,5.288728
-0.038573,5,5.389749
-0.025358,5,5.487472
-0.037638,3,5.543792
-0.035904,1,5.569282
-0.052066,2,5.605424
0.007258,4,5.685452
0.000864,4,5.759652
0.024449,1,5.7765
0.004721,4,5.854958
-0.050161,2,5.89551
0.038782,1,5.912131
0.097425,2,5.95208
0.030486,4,6.029239
-0.107882,6,6.138786
0.013122,3,6.198929
-0.017143,5,6.29002
-0.085136,1,6.317334
-0.026142,2,6.363104
0.005616,4,6.424917
-0.084358,4,6.503542
-0.012193,2,6.546884
0.13168,2,6.58258
-0.022784,3,6.651618
-0.000898,3,6.718575
-0.000996,2,6.758327
-0.019594,3,6.811062
-0.073476,3,6.869178
0.042564,3,6.926477
0.019049,3,6.989632
0.000394,2,7.035882
-0.180954,1,7.053288
0.037638,3,7.128653
-0.004799,3,7.189548
0.021217,2,7.233006
-0.09498,6,7.337733
0.057109,3,7.404305
-0.013812,3,7.454174
-0.014722,2,7.494489
0.022037,2,7.533025
-0.071005,2,7.576606
-0.027442,2,7.619028
-0.011343,3,7.669678
0.066283,3,7.721694
-0.005636,6,7.831659
-0.069327,1,7.854326
-0.007137,2,7.898099
0.100466,4,7.973342
-0.027431,2,8.015995
0.042443,3,8.078261
0.004921,3,8.135324
-0.039848,6,8.253402
0.039705,4,8.323238
-0.025194,2,8.363338
-0.012443,2,8.405919
0.011639,2,8.449846
-0.02261,4,8.529242
-0.020902,3,8.583447
-0.028956,2,8.634338
-0.031421,1,8.651809
0.010663,3,8.712139
-0.001031,3,8.778436
-0.024215,2,8.822462
-0.054518,4,8.888781
0.045729,1,8.91101
0.021203,1,8.936095
-0.007916,2,8.966672
-0.007932,3,9.020078
0.054691,2,9.064229
-0.020638,2,9.103799
-0.022496,1,9.125534
-0.07573,4,9.203777
0.011322,3,9.265184
-0.035818,2,9.307252
0.032114,3,9.365646
-7e-05,2,9.405096
-0.091682,4,9.488061
-0.070047,2,9.538551
0.04156,3,9.59999
-0.024116,2,9.646834
-0.045866,1,9.672672
-0.060615,3,9.736787
-0.024309,3,9.785678
0.010383,6,9.905872
-0.031033,5,9.986707
0.014725,2,10.024902
-0.078329,1,10.046711
-0.002537,2,10.086897
0.036945,4,10.172945
-0.008803,2,10.215009
0.010278,4,10.297557
-0.088356,3,10.342094
-0.118844,3,10.402307
0.042528,2,10.441973
-0.007571,3,10.508611
0.016905,2,10.539055
-0.016379,2,10.581942
-0.022211,4,10.662612
-0.010346,2,10.711522
-0.004545,1,10.732942
-0.060511,2,10.768284
-0.04894,8,10.90566
0.01848,4,10.992247
-0.099106,4,11.076989
0.008601,2,11.117222
-0.107874,1,11.142102
0.036985,5,11.247074
-0.002121,3,11.303716
0.086106,2,11.343074
-0.025182,5,11.451391
0.056925,2,11.488048
-0.004839,2,11.522875
-0.005084,2,11.56209
-0.013167,4,11.632486
-0.028622,4,11.708037
-0.046205,1,11.729836
-0.00241,5,11.83129
0.066294,2,11.865488
0.005671,1,11.899328
-0.006893,1,11.922549
0.003848,2,11.961619
-0.011456,1,11.988186
-0.052666,10,12.157212
0.043459,3,12.229353
-0.014393,4,12.314337
-0.046456,8,12.466913
0.019425,4,12.553718
-0.0113,5,12.655989
0.01582,3,12.716329
0.036578,7,12.857239
-0.05156,2,12.896782
0.001819,5,12.990702
-0.04702,3,13.04741
0.007466,2,13.095599
0.05508,2,13.138493
0.056802,2,13.174864
0.056846,2,13.209986
0.006936,2,13.256582
-0.028374,1,13.282305
0.026319,2,13.318584
0.07343,2,13.356773
-0.033769,5,13.446398
0.001316,5,13.551881
0.055618,2,13.588484
0.024723,4,13.670448
-0.019591,3,13.728258
-0.014895,6,13.841921
