#{"t_start": 1632853816.3999844, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.023823,2,2.6823
-0.022822,1,2.705096
-0.020508,2,2.744173
-0.016689,5,2.836107
0.00297,2,2.881814
-0.015703,4,2.958281
0.083059,3,3.020597
-0.010132,1,3.046685
0.093784,1,3.068966
-0.047545,2,3.11321
-0.007985,3,3.172444
0.00737,6,3.292604
-0.002082,1,3.315037
0.007876,3,3.372559
0.023048,5,3.465176
0.027694,2,3.505168
-0.023501,1,3.523045
-0.009147,1,3.553133
0.044212,3,3.616092
-0.026593,1,3.646209
0.037929,4,3.727015
-0.084074,3,3.787523
-0.20364,5,3.88633
0.208924,4,3.980395
-0.051124,2,4.015004
-0.019104,2,4.051769
-0.116465,3,4.108539
-0.020102,2,4.144668
0.003425,2,4.181316
-0.006155,2,4.22111
-0.00255,3,4.278533
-0.02034,5,4.379307
-0.021205,2,4.421931
-0.001813,2,4.465252
0.010086,3,4.528155
0.048416,5,4.621918
0.021153,2,4.669073
-0.004353,5,4.765724
-0.068183,3,4.825471
-0.019196,1,4.851182
-0.054526,2,4.890942
-0.026727,1,4.916999
0.14865,2,4.960875
-0.008405,3,5.018161
-0.045498,1,5.039528
-0.026866,2,5.086306
-0.045362,2,5.125794
-0.046597,3,5.182674
-0.044132,1,5.20795
0.027627,5,5.307943
-0.015646,4,5.383044
0.024449,1,5.409173
-0.022335,5,5.502082
-0.039165,3,5.558907
0.050886,3,5.624725
0.088993,3,5.678876
-0.009412,7,5.808567
-0.135176,3,5.872153
-0.004185,6,5.988141
-0.038738,1,6.005408
-0.077636,2,6.048519
-0.012396,6,6.156626
0.004972,1,6.179164
-0.147164,2,6.213519
-0.001779,2,6.248631
0.126668,2,6.283344
-0.043789,3,6.352816
-0.02631,7,6.478698
0.00233,2,6.522717
-0.008039,5,6.624578
-0.091056,2,6.667165
0.02969,1,6.686807
0.041468,2,6.734125
0.001134,3,6.787737
-0.224689,2,6.825638
0.0479,3,6.883711
-0.005197,4,6.955587
0.017481,2,7.008562
-0.119754,3,7.072719
0.023947,1,7.09988
-0.022894,1,7.118376
-0.019939,2,7.16622
0.022037,1,7.183666
-0.062832,2,7.222772
-0.0489,6,7.331321
-0.018381,1,7.360274
0.053318,2,7.394074
-0.104384,3,7.447563
-0.063819,4,7.522759
2.1e-05,2,7.566325
0.153777,2,7.612892
-0.026657,3,7.663069
0.024452,9,7.824828
0.00665,3,7.887805
-0.029434,3,7.952934
0.018148,3,8.005702
-0.040906,2,8.049844
-0.009796,2,8.093613
0.006242,1,8.111382
-0.003285,6,8.224895
-0.042733,3,8.286828
0.002002,5,8.382602
-0.007077,3,8.439391
-0.000253,2,8.483379
-0.005744,1,8.509105
-0.032997,5,8.59893
-0.022621,3,8.671317
0.076926,2,8.706327
0.03069,2,8.749632
0.005491,1,8.767753
-0.012722,3,8.83828
0.02096,5,8.925595
-0.002332,6,9.039145
-0.035894,2,9.079791
-0.068661,5,9.180065
-0.006318,1,9.198106
-0.015551,6,9.32197
0.022114,3,9.381192
-0.007159,1,9.398699
-0.065433,1,9.419693
-0.077769,3,9.481613
0.025604,2,9.527029
-0.023845,1,9.557906
-0.042648,4,9.636557
-0.043938,2,9.688085
-0.034519,2,9.726291
-0.018188,4,9.804681
-0.021357,3,9.862309
0.031308,3,9.921168
-0.121147,7,10.040176
0.000827,3,10.106139
0.037751,1,10.124194
-0.005014,3,10.192643
0.011684,3,10.251521
-0.103995,1,10.272945
-0.116251,6,10.377544
0.042528,2,10.41769
-0.001453,3,10.480069
0.006524,1,10.502244
-0.028267,3,10.558194
-0.018069,5,10.656694
-0.021976,2,10.70498
0.013051,3,10.762573
-0.020206,3,10.815546
-0.06891,2,10.85041
0.010777,4,10.924946
-0.103474,1,10.943058
-0.033601,3,11.007604
-0.107874,1,11.029639
