#{"t_start": 1632853816.4018137, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.018461,3,2.710357
0.048424,5,2.793543
-0.023915,1,2.81541
-0.029404,6,2.941015
-0.002518,2,2.981753
-0.009933,3,3.052322
0.103817,2,3.088432
-0.000114,2,3.137174
0.093784,1,3.155951
-0.029761,2,3.194976
-0.012704,3,3.251349
0.015983,3,3.320316
0.003679,3,3.377973
0.000158,3,3.422568
0.07433,2,3.470529
0.031013,3,3.528444
-0.025774,2,3.577327
-0.00243,2,3.621391
0.019313,1,3.651538
-0.01688,5,3.745381
0.036187,2,3.792707
-0.084074,3,3.855586
-0.13788,4,3.936353
0.223867,3,3.999412
-0.022301,5,4.091778
-0.024024,3,4.150075
-0.074398,2,4.186658
-0.011527,2,4.226373
0.007135,2,4.262365
-0.004168,2,4.304019
-0.00447,5,4.402094
-0.011157,4,4.485444
-0.031825,1,4.503707
0.004435,6,4.627281
0.005226,3,4.69646
0.029545,5,4.78538
0.030122,3,4.856586
-0.016878,2,4.896206
-0.065028,1,4.92224
-0.003572,2,4.966195
-0.029679,3,5.023382
-0.040491,2,5.059697
0.11592,1,5.091552
0.005146,3,5.147646
-0.058406,2,5.187977
-0.023605,2,5.231421
-0.045658,2,5.263279
-0.038041,3,5.331379
-0.065359,4,5.414388
0.012031,1,5.431756
0.007764,2,5.467761
0.030821,5,5.564208
0.007982,2,5.600386
-0.056175,1,5.629987
0.04697,2,5.66187
0.120499,3,5.723768
0.028894,1,5.741206
-0.09554,4,5.813808
0.020808,2,5.849747
-0.018886,5,5.946784
-0.141344,5,6.053805
-0.021526,1,6.07133
0.009101,2,6.10262
-0.108528,1,6.119725
0.009909,5,6.218757
0.038632,5,6.312269
-0.037631,2,6.358061
0.008484,3,6.406559
-0.002947,3,6.457914
-0.002607,2,6.498334
-0.086568,1,6.52789
0.040313,4,6.603666
0.019442,4,6.691855
-0.003384,1,6.713333
-0.082407,5,6.805815
0.044741,2,6.845258
-0.004125,3,6.906953
0.038399,3,6.960759
-0.192294,2,7.013797
0.056561,3,7.078256
-0.023275,2,7.123633
-0.023155,1,7.145609
0.025886,4,7.227986
-0.067486,1,7.253663
-0.037064,4,7.314448
-0.008424,4,7.39929
0.056117,5,7.489417
-0.09236,2,7.527981
-0.044784,2,7.571577
-0.000663,1,7.596969
-0.006389,10,7.771835
-0.045717,4,7.848437
0.057742,2,7.893059
-0.000716,1,7.918467
-0.048824,5,8.010938
0.039823,3,8.073231
-0.033085,3,8.130251
-0.001531,2,8.1725
0.006242,1,8.193762
-0.027173,2,8.230134
-0.026683,1,8.248161
-0.03736,3,8.305573
4.7e-05,3,8.357944
-0.003502,1,8.387625
0.002649,3,8.444615
-0.018831,2,8.48845
-0.019931,3,8.546189
0.061553,4,8.628957
0.030666,5,8.732707
0.002936,2,8.773216
-0.016148,2,8.817246
0.037165,5,8.905566
-0.025374,1,8.930822
-0.023885,3,8.983422
-0.022326,1,9.001257
0.00654,2,9.044184
-0.044221,3,9.098575
0.029147,3,9.159143
-0.005518,4,9.237983
-0.065433,1,9.259801
-0.112571,2,9.302001
0.023345,1,9.32702
-0.017731,2,9.360233
-0.054921,3,9.424879
-0.049009,4,9.509575
-0.038625,1,9.53231
-0.003342,5,9.641587
-0.019376,1,9.667402
0.041088,2,9.710027
-0.078329,1,9.731349
0.015659,4,9.80972
0.037751,1,9.831007
-0.006542,2,9.867394
-0.010409,9,10.019621
-0.160317,2,10.067746
-0.102796,3,10.129224
0.048298,2,10.1677
-0.006014,10,10.357653
0.006524,1,10.382583
-0.026023,3,10.436536
-0.008856,2,10.485099
-0.006354,5,10.576507
0.007327,2,10.622252
-0.021758,3,10.684169
-0.06891,2,10.727719
0.014587,5,10.820762
-0.06236,4,10.887304
-0.039873,3,10.948102
-0.141759,2,10.987008
0.044988,3,11.048732
0.002529,3,11.111951
0.05497,2,11.162747
-0.045449,2,11.20549
0.043894,2,11.241959
0.003064,5,11.338016
-0.011407,1,11.359103
-0.051274,2,11.404442
-0.033785,2,11.446366
-0.046322,5,11.542617
0.025889,4,11.61375
0.088954,3,11.66737
0.020227,2,11.702988
-0.006893,1,11.724823
-0.000814,2,11.773553
