#{"t_start": 1632856045.5587173, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.01328,1,2.910115
0.005181,4,3.089375
-0.054984,2,3.158332
-0.003945,4,3.330785
-0.026753,1,3.375284
0.027793,4,3.532561
0.07246,2,3.6161
0.054424,2,3.691812
-0.022283,3,3.817168
0.003106,3,3.945396
0.004161,2,4.020584
-0.031415,4,4.18863
-0.013145,1,4.229493
0.019643,2,4.306816
0.045384,2,4.388925
-0.000126,1,4.435941
-0.213503,2,4.516313
-0.007468,2,4.592921
-0.004545,1,4.634886
-0.02469,2,4.72242
-0.018346,1,4.769608
-0.118673,2,4.85817
0.005343,2,4.931188
0.075902,2,5.026791
0.038177,2,5.118165
0.040329,2,5.202473
-0.028226,2,5.283259
0.038503,1,5.328015
0.020447,3,5.457391
-0.03356,4,5.626658
-0.066954,2,5.714897
-0.01702,3,5.825746
-0.082785,1,5.877443
-0.004438,2,5.956618
-0.041552,3,6.079463
-0.028236,1,6.129272
-0.021844,1,6.168722
-0.016928,1,6.222333
-0.112548,3,6.3417
-0.028899,4,6.499145
-0.038315,2,6.592378
-0.029737,5,6.788968
0.136367,3,6.910202
-0.001755,1,6.953026
-0.016909,4,7.120711
-0.035955,2,7.200296
-0.075703,4,7.361919
0.010703,2,7.441012
0.004607,2,7.522012
0.059318,2,7.617188
0.013589,2,7.682918
0.012141,2,7.771082
0.021712,3,7.909557
0.016896,4,8.073917
-0.018553,2,8.151034
-0.021099,2,8.232933
0.030689,1,8.272947
-0.138112,3,8.386494
0.022056,2,8.47029
-0.004078,2,8.553354
-0.009867,2,8.636506
0.107767,2,8.720546
0.004168,2,8.806225
-0.154577,4,8.976783
-0.047283,2,9.065379
0.010299,1,9.107342
-0.026258,6,9.352897
-0.004537,1,9.388575
-0.027848,1,9.432277
0.010583,2,9.515222
-0.073836,4,9.677828
-0.082995,1,9.727652
0.0314,3,9.836544
-0.047683,1,9.884598
-0.072341,3,10.013801
0.061131,3,10.122181
0.009257,2,10.205683
-0.034875,3,10.309342
0.002103,3,10.416165
0.018599,1,10.469277
0.093887,1,10.509182
0.017602,3,10.618331
0.026583,2,10.711766
-0.002913,2,10.797827
-0.10053,2,10.873701
0.009957,7,11.165223
-0.070806,2,11.241699
-0.034814,3,11.354168
-0.060977,3,11.486145
-0.019866,1,11.526347
0.167439,3,11.649572
-0.015071,3,11.763824
-0.01849,3,11.888458
0.027883,5,12.075451
-0.063739,6,12.323293
0.064062,2,12.394301
-0.112543,2,12.482691
-0.025168,1,12.527604
-0.053198,1,12.565639
-0.035015,2,12.647328
-0.008075,1,12.691911
0.042181,2,12.784242
-0.115683,4,12.946684
0.019237,3,13.072285
0.018632,2,13.161982
-0.081953,2,13.234289
-0.055777,2,13.321726
0.008769,2,13.405442
0.004916,1,13.449235
-0.008823,1,13.485097
-0.062855,3,13.59761
-0.008654,3,13.724145
0.212393,2,13.8118
0.019367,2,13.898098
-0.003135,2,13.983833
-0.038864,4,14.140319
-0.056279,1,14.180577
-0.016151,1,14.231035
-0.00242,3,14.345058
-0.003317,3,14.475255
-0.003763,3,14.599172
0.046785,2,14.69357
0.015399,2,14.782227
-0.09656,2,14.856267
0.032337,2,14.937751
-0.055084,3,15.055094
-0.083634,2,15.134962
0.002186,2,15.212943
-0.004241,3,15.341912
-0.04003,3,15.458025
-0.063534,1,15.505155
0.00987,3,15.619025
0.012744,2,15.698531
-0.004217,1,15.750915
-0.086568,1,15.790298
-0.010507,2,15.870726
-0.016769,4,16.042509
0.001058,3,16.172415
0.043361,3,16.295517
0.026559,2,16.380923
-0.026927,4,16.546314
-0.029685,4,16.718342
0.020401,3,16.840288
0.005295,3,16.972748
-0.042298,1,17.011888
0.017312,2,17.103945
0.028479,2,17.180442
-0.033403,2,17.268703
0.00336,1,17.304621
0.020349,3,17.428946
-0.012698,2,17.517644
