#{"t_start": 1632856045.5529578, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.01328,1,2.89586
0.002108,1,2.94634
-0.102908,3,3.077255
-0.029393,3,3.19603
-0.026753,1,3.240666
0.0272,3,3.36321
0.018147,3,3.484845
0.061419,2,3.567337
-0.018802,3,3.683581
0.00748,3,3.810534
0.015214,3,3.937277
-0.024373,1,3.977898
-0.005851,2,4.0605
0.023389,3,4.174628
0.038706,4,4.338526
0.010228,2,4.424489
-0.203568,2,4.504033
-0.016146,3,4.626941
-0.004545,1,4.671061
-0.021836,2,4.757524
-0.018346,1,4.801952
-0.150565,1,4.846005
0.003157,2,4.923827
0.071473,3,5.062731
0.038177,2,5.154607
0.027067,2,5.238617
-0.019098,3,5.364572
0.041753,2,5.443631
0.011713,1,5.483915
-0.028301,2,5.56479
-0.064349,2,5.662457
-0.014844,2,5.745542
-0.036856,3,5.861451
0.002225,3,5.988232
-0.045608,2,6.067474
-0.028236,1,6.117306
-0.01169,2,6.208616
0.00316,4,6.373825
-0.241241,2,6.45049
-0.028453,2,6.535734
-0.027019,1,6.580274
-0.004963,2,6.665141
0.106383,3,6.772524
0.006427,3,6.902206
-0.030135,2,6.989347
-0.060267,2,7.077345
-0.108481,4,7.227157
0.012608,3,7.349745
0.010764,2,7.432919
0.051637,4,7.604949
0.020313,3,7.726281
0.011305,2,7.810515
0.01893,2,7.893684
0.015989,3,8.022163
-0.025074,2,8.107337
-0.004036,2,8.187282
0.070267,3,8.305136
-0.069559,4,8.462315
0.016688,3,8.589961
-0.00829,2,8.675165
-0.014841,2,8.759813
0.072297,3,8.879377
0.011912,2,8.95956
-0.232092,2,9.057243
-0.070435,2,9.143333
0.010299,1,9.182223
-0.049213,2,9.262423
-0.004537,1,9.299259
-0.028556,3,9.424075
-0.005747,3,9.546541
-0.059755,2,9.624963
-0.037636,2,9.716273
0.035284,3,9.824463
-0.088278,4,9.997676
-0.057485,3,10.110361
0.035173,5,10.297927
0.006189,2,10.373288
-0.047276,4,10.540234
0.002701,1,10.574464
0.038234,2,10.662279
0.103372,2,10.750989
0.027624,2,10.835306
0.022972,3,10.954026
-0.00872,2,11.021023
-0.125826,1,11.070427
-0.027291,2,11.158005
-0.043098,3,11.274974
-0.083874,2,11.341999
-0.060977,3,11.474343
0.002873,4,11.633537
0.099695,4,11.790862
-0.000481,2,11.881244
-0.019027,5,12.063723
0.02474,3,12.191535
-0.036865,2,12.264933
0.051108,2,12.35233
-0.097145,1,12.382387
-0.027956,2,12.469531
-0.074696,3,12.601302
-0.057535,3,12.72819
-0.00214,2,12.819647
