#{"t_start": 1632856045.5492241, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.02444,2,2.939427
-0.002043,2,3.027608
-0.052938,5,3.233629
-0.0394,2,3.313187
-0.018144,4,3.474078
0.020568,4,3.645587
0.030941,3,3.757894
0.03298,1,3.799564
-0.047502,1,3.846018
-0.034515,2,3.931129
0.010309,2,4.006355
-0.024373,1,4.049828
-0.022931,3,4.162968
0.024372,3,4.297979
0.03975,3,4.418429
0.013454,3,4.540834
-0.029528,3,4.660436
-0.014626,2,4.746864
0.005763,2,4.835402
-0.040886,3,4.964535
-0.013667,2,5.055909
-0.118673,2,5.147755
-0.020633,5,5.353635
0.041811,1,5.402647
0.050323,3,5.528583
0.040329,2,5.611591
-0.037116,1,5.655544
0.059714,3,5.784193
0.029129,2,5.855436
-0.000434,6,6.110559
-0.104024,2,6.197894
-0.025048,1,6.251245
-0.079687,2,6.323
-0.000894,2,6.402663
-0.0419,2,6.484469
-0.061249,4,6.658292
-0.010074,2,6.728174
-0.006689,3,6.849953
-0.291224,2,6.934915
-0.042782,2,7.039242
-0.016131,3,7.14504
-0.009106,3,7.26467
0.095808,4,7.42201
-0.001755,1,7.46741
-0.029626,2,7.552273
-0.061895,3,7.672792
-0.083429,5,7.882896
0.012532,1,7.93968
0.004317,2,8.016131
0.047715,2,8.100549
0.021106,4,8.257729
0.011605,4,8.411201
0.023297,2,8.494988
-0.000216,1,8.542474
-0.023654,1,8.579321
-0.00851,2,8.662298
0.053037,2,8.75299
-0.102912,1,8.792691
0.01582,3,8.920923
-0.010148,3,9.04925
-0.014894,2,9.132665
0.06647,1,9.175444
0.004494,1,9.2142
-0.220356,4,9.379086
-0.080075,3,9.501773
0.010299,1,9.54044
-0.047057,3,9.662933
-0.000659,3,9.788861
-0.024858,2,9.865981
0.015804,2,9.952651
-0.058649,1,9.987068
0.042682,3,10.099541
0.048172,2,10.186544
-0.056629,4,10.33502
-0.067996,3,10.450454
0.018342,5,10.653791
0.000909,6,10.899408
-0.031059,1,10.94705
0.007892,2,11.014615
0.02879,4,11.19215
0.091692,5,11.383651
0.017488,1,11.425305
0.014266,1,11.463439
-0.004284,2,11.555762
-0.125826,1,11.593237
-0.026211,3,11.711454
-0.067486,1,11.754313
-0.058841,3,11.870692
-0.043865,2,11.944736
0.002828,3,12.053147
0.17666,2,12.138623
-0.010694,4,12.305427
-0.026977,4,12.462676
0.039225,2,12.557046
-0.038927,2,12.633913
0.046819,1,12.677074
-0.130601,4,12.848343
-0.043082,2,12.922891
-0.066413,5,13.153229
-0.039777,2,13.220904
0.018072,3,13.351104
0.04317,5,13.544696
-0.107381,3,13.678838
0.021976,4,13.845072
0.021447,2,13.927045
-0.067561,3,14.048736
-0.049758,4,14.213731
-0.000402,3,14.335729
0.01018,3,14.456749
-0.004752,3,14.581802
-0.069607,1,14.632564
0.009292,3,14.759476
0.181577,2,14.846319
0.017018,2,14.919043
0.00528,2,15.001592
-0.04444,2,15.088861
-0.004326,5,15.278381
-0.013422,4,15.447485
-0.000174,4,15.604305
-0.015561,4,15.775959
0.02221,1,15.825548
0.045565,3,15.938621
-0.014062,5,16.153083
-0.088852,6,16.414443
0.043869,3,16.531234
-0.024245,3,16.648644
-0.071588,1,16.696849
-0.007894,3,16.822065
-0.017401,1,16.865963
-0.0642,1,16.914206
-0.064296,2,17.002552
0.011884,2,17.08039
0.012902,3,17.211266
0.00365,3,17.330208
-0.086568,1,17.373938
-0.014322,2,17.459785
-0.021757,2,17.542848
-0.002055,5,17.733121
0.048867,2,17.817751
0.028165,2,17.89588
