#{"t_start": 1632856045.5510898, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
0.025369,3,2.98364
-0.002766,2,3.071811
-0.054984,2,3.145571
-0.035024,1,3.190628
-0.041258,2,3.2794
0.021501,3,3.401736
0.056637,2,3.479481
0.066506,3,3.602185
-0.018504,5,3.804969
-0.033025,1,3.851946
0.008986,5,4.055145
-0.01949,2,4.13264
-0.013145,1,4.169203
0.011068,2,4.259861
0.033404,2,4.333123
0.013006,5,4.546121
-0.310391,2,4.621558
-0.000663,1,4.6658
-0.000802,2,4.75217
-0.020763,2,4.840712
-0.022376,3,4.969921
-0.137599,3,5.105192
0.013004,3,5.233275
0.080198,3,5.359048
0.038177,2,5.438204
0.030237,4,5.617008
-0.023807,2,5.70169
0.022812,7,5.982672
0.022874,2,6.061983
-0.059358,2,6.15522
-0.07414,1,6.203283
-0.009418,3,6.328339
-0.04982,3,6.445039
-0.009814,3,6.574792
-0.016584,4,6.733555
-0.045311,3,6.855356
-0.013459,2,6.940242
-0.014811,3,7.071509
-0.182862,3,7.187146
-0.021663,3,7.302855
-0.00692,3,7.427479
-0.013044,3,7.557892
0.105112,4,7.720797
0.013955,4,7.888415
-0.023298,4,8.064271
-0.057513,3,8.181932
-0.098541,2,8.263336
0.010801,4,8.416542
0.006725,2,8.500344
0.052193,2,8.584662
0.016126,2,8.667638
0.007455,4,8.836993
0.009565,3,8.954052
-0.000216,1,9.005359
-0.007456,3,9.13801
-0.002565,4,9.293824
0.064016,4,9.464125
-0.102912,1,9.507206
0.013821,3,9.619514
-0.001612,2,9.709308
-0.010591,5,9.914612
0.107767,2,9.992378
0.00832,3,10.10488
-0.232092,2,10.191835
-0.06383,3,10.292635
0.013775,3,10.403254
-0.042511,1,10.455751
0.001403,2,10.534983
-0.024858,2,10.608119
0.015287,3,10.745713
-0.058649,1,10.784374
-0.082995,1,10.829722
0.035405,2,10.904837
-0.06546,4,11.065128
-0.107063,2,11.152615
0.072382,3,11.26815
0.005654,3,11.388929
-0.018138,2,11.468836
0.000516,6,11.716807
0.038353,4,11.875971
0.107341,2,11.950047
0.018439,3,12.058457
0.028716,2,12.143882
-0.012744,1,12.186275
-0.110678,2,12.258047
-0.034347,1,12.310719
-0.041864,3,12.428123
-0.083874,2,12.517353
-0.046577,2,12.59603
0.002828,3,12.722858
0.088503,1,12.771394
0.004467,1,12.814324
-0.016884,3,12.929051
0.046274,2,13.010464
-0.034869,1,13.063005
0.046819,1,13.102971
-0.151237,4,13.265824
-0.024801,2,13.356443
-0.056397,3,13.476391
-0.035907,4,13.632946
-0.005268,2,13.71612
0.043427,2,13.797969
-0.148895,2,13.885703
0.010415,3,14.018769
0.009044,1,14.054014
-0.099342,2,14.13172
-0.026683,1,14.170515
0.002254,1,14.219074
0.004916,1,14.262493
-0.008823,1,14.298302
-0.073414,2,14.37976
0.007753,2,14.46206
0.151422,4,14.637908
0.008233,3,14.764824
-0.01022,1,14.809512
-0.072729,3,14.924576
-0.036889,2,15.008075
-0.001853,6,15.243949
-0.003935,3,15.368404
0.006705,3,15.491673
0.02221,1,15.53599
0.049287,3,15.644767
0.009842,2,15.733898
-0.111293,4,15.90025
0.032167,1,15.943969
-0.038625,1,15.986736
-0.086758,2,16.069653
-0.00745,3,16.201774
-0.017401,1,16.231775
-0.0642,1,16.27856
