#{"t_start": 1632853271.6122024, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.01112,3,2.923608
-0.006985,2,3.096783
-0.049818,4,3.379525
0.082639,3,3.591949
-0.040417,2,3.745459
0.045721,6,4.208883
-0.019331,1,4.272662
0.050879,2,4.446738
0.008935,2,4.607741
0.043191,2,4.754276
-0.079378,3,4.992126
-0.056779,1,5.066909
0.053389,2,5.23628
0.008343,3,5.490078
0.041538,4,5.814458
-0.004632,4,6.129007
0.011342,4,6.423402
-0.117723,5,6.804669
0.005536,3,7.031404
0.082819,1,7.100819
0.033573,1,7.179423
0.008567,2,7.347641
-0.058183,3,7.567203
-0.036847,1,7.667135
-0.03335,2,7.815621
0.001496,5,8.294969
-0.084633,2,8.444138
0.057177,1,8.524266
0.034715,4,8.851247
0.05785,1,8.929367
0.142271,5,9.383948
-0.04775,2,9.522074
-0.004719,2,9.678104
0.041811,1,9.76093
-0.033013,2,9.913953
-0.015445,3,10.168647
-0.068867,2,10.322184
-0.021423,2,10.468486
-0.005571,1,10.535618
-0.013333,1,10.649704
-0.011835,4,10.968223
-0.002535,5,11.396694
0.041442,2,11.564
0.027459,5,11.952125
-0.029772,2,12.106365
-0.041936,2,12.269654
0.001974,1,12.353555
0.02696,1,12.45386
-0.007502,3,12.696323
0.043791,2,12.839575
-0.022924,3,13.111649
-0.002489,1,13.193992
0.097414,2,13.339838
0.018727,3,13.579249
-0.066,6,14.020385
-0.054399,1,14.087848
-0.045782,3,14.329819
-0.103893,5,14.70285
0.007854,2,14.892134
-0.064804,2,15.055535
-0.00515,4,15.411057
0.016617,2,15.572995
0.029182,2,15.768713
-0.038271,1,15.850646
-0.064288,3,16.082558
-0.078277,1,16.178754
0.002708,4,16.476628
-0.021527,2,16.642423
-0.023394,5,17.02227
-0.015623,1,17.111626
-0.000145,5,17.491266
-0.002082,1,17.588006
-0.056212,3,17.808949
0.05851,3,18.051164
-0.038478,2,18.2008
0.051452,6,18.848773
0.057613,4,19.165601
-0.009523,3,19.421398
-0.067607,2,19.659959
0.020184,5,20.110224
0.009156,2,20.269715
0.000415,2,20.41864
0.007216,3,20.668534
0.060041,2,20.828053
0.030133,6,21.289251
-0.089354,2,21.447365
-0.007752,1,21.547133
0.014971,5,21.979482
-0.03007,1,22.11856
0.024573,1,22.226953
0.004113,1,22.332028
-0.051912,3,22.575837
0.03001,4,22.906179
-0.015,2,23.071526
0.017394,2,23.232215
0.022372,6,23.712218
-0.059589,2,23.917368
-0.03316,3,24.168223
-0.09683,3,24.423321
0.008007,1,24.494553
0.116248,3,24.713789
0.013267,2,24.889207
-0.030998,5,25.404661
-0.052049,2,25.573064
-0.08427,1,25.645602
0.00033,1,25.726395
-0.04109,5,26.13306
-0.023662,3,26.401962
-0.037551,1,26.472832
-0.002223,2,26.667595
-0.00279,2,26.829421
0.102944,2,27.006372
0.038115,2,27.234093
0.256632,3,27.479659
-0.032221,2,27.647704
0.002015,6,28.187239
-0.022414,2,28.360467
0.010371,2,28.523294
-0.02333,2,28.671298
-0.087827,2,28.851046
-0.168786,4,29.14283
0.034423,3,29.392443
0.010816,4,29.703737
0.02119,3,29.918145
0.018453,3,30.171101
0.001337,1,30.25023
0.048713,2,30.420096
-0.008567,5,30.791112
0.008029,2,30.991042
-0.004992,4,31.282205
-0.04691,1,31.362051
-0.06248,3,31.581211
0.011056,5,32.00111
0.000897,2,32.160621
-0.020898,3,32.418242
0.018479,2,32.567316
-0.030151,1,32.638325
-0.075491,1,32.722422
-0.069607,1,32.808285
-0.081982,2,32.960715
-0.04716,2,33.103378
-0.026818,3,33.339382
0.028627,4,33.645089
0.052007,3,33.885698
-0.036415,2,34.127068
-0.002412,3,34.350916
0.022509,2,34.510779
0.002435,2,34.655107
-0.052153,8,35.302096
0.043152,8,35.95488
0.062365,2,36.116923
-0.009242,5,36.648282
-0.007159,1,36.734048
-0.038142,3,36.986213
0.037377,2,37.157876
-0.017191,1,37.24984
-0.021062,7,37.852813
0.126648,4,38.167042
0.025921,5,38.569504
-0.019541,4,38.909767
-0.014135,5,39.322097
-0.040934,6,39.776034
-0.002329,3,40.000813
-0.017841,3,40.23085
-0.015273,3,40.430819
-0.087988,5,40.804131
0.141123,2,40.953273
0.008134,7,41.496619
0.0046,3,41.730014
0.018727,5,42.149353
-0.01908,2,42.316853
-0.000469,4,42.615796
0.055982,2,42.812756
-0.04172,2,42.976832
0.00692,2,43.172184
-0.040767,3,43.430285
0.00506,3,43.663269
-0.044054,3,43.891018
-0.017954,8,44.506653
-0.111587,3,44.764086
-0.123484,3,44.994684
-0.014485,1,45.063499
-0.051804,2,45.217965
-0.004997,4,45.510274
-0.016079,3,45.737151
0.16429,4,46.052569
-0.059814,2,46.211308
-0.027848,4,46.527952
-0.110252,4,46.831029
-0.013096,1,46.918936
-0.028534,2,47.059217
0.000569,5,47.447268
0.124162,2,47.614192
0.047499,5,47.994534
0.018554,3,48.227576
-0.018818,3,48.455733
-0.014374,1,48.541873
-0.01625,4,48.857302
-0.005874,3,49.080435
-0.000323,3,49.329971
-0.010871,1,49.422982
0.067366,2,49.573367
0.035215,3,49.811905
-0.012609,3,50.02802
0.000303,5,50.429023
0.001451,4,50.712031
-0.004859,4,51.007656
0.020694,4,51.326489
-0.010087,3,51.560671
-0.012774,3,51.824413
0.013523,3,52.06566
0.02225,6,52.522668
0.017076,2,52.681357
0.002971,4,52.987788
-0.000779,3,53.202723
-0.005901,4,53.528857
-0.021084,2,53.674305
6e-05,2,53.832638
-0.041022,7,54.347476
0.008796,3,54.572918
0.008394,5,54.94194
0.038603,1,55.030096
-0.004014,2,55.185219
-0.011798,2,55.333205
0.002749,3,55.551492
0.010524,3,55.779401
0.096697,3,56.010441
-0.102034,4,56.318177
0.002173,3,56.56279
0.006878,2,56.704415
-0.022317,4,57.00844
0.092927,4,57.380337
-0.05282,3,57.652325
-0.027926,4,57.991218
-0.005254,1,58.068587
0.00423,1,58.151328
0.058283,3,58.394065
-0.012558,2,58.554275
