#{"t_start": 1632853271.606634, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.022703,2,2.835934
-0.018091,3,3.084213
-0.037542,6,3.503344
0.127904,3,3.737611
-0.031476,2,3.894417
0.045058,2,4.042341
-0.019331,1,4.117146
0.026593,3,4.352525
0.010225,5,4.741405
0.024378,6,5.227636
-0.047016,2,5.3962
-0.040373,3,5.640336
0.055747,5,6.054368
0.010883,5,6.410652
0.029011,1,6.489913
-0.048308,7,7.022793
0.011542,4,7.333514
-0.112284,2,7.493343
-0.003657,2,7.655138
0.116173,3,7.902754
0.068184,3,8.218756
0.010133,3,8.435818
-0.053531,1,8.512134
-0.036847,1,8.603515
-0.028453,2,8.763402
0.001418,4,9.098305
-0.111456,1,9.181673
0.057177,1,9.299647
0.037602,4,9.597009
0.071991,3,9.830612
0.133638,2,9.990774
-0.0687,2,10.150691
-0.010418,3,10.387647
0.082542,3,10.636719
-0.011708,3,10.875737
-0.011995,2,11.07529
-0.052884,3,11.322491
-0.037313,6,11.796188
-0.006191,3,12.02384
0.005871,5,12.440754
-0.018681,1,12.53755
0.013176,2,12.687759
0.022127,3,12.901894
0.02807,1,13.020746
-0.049439,2,13.18066
0.033928,3,13.419683
0.007961,2,13.571845
0.033948,2,13.728649
-0.011959,6,14.180796
0.04796,4,14.48381
-0.020478,2,14.624327
0.020181,5,15.04706
0.070914,1,15.142296
0.02388,4,15.500281
-0.053374,3,15.755279
-0.074099,2,15.912138
-0.067682,2,16.073861
-0.150565,1,16.16166
0.011046,3,16.407
0.004745,4,16.708538
0.006636,3,16.943113
0.010194,2,17.094613
0.019855,4,17.418601
-0.043477,2,17.571045
-0.024141,3,17.801191
-0.081356,2,17.946273
0.021916,3,18.191446
-0.043008,4,18.532812
-0.024533,4,19.01087
-0.012479,2,19.147481
-0.006878,3,19.405773
0.005274,2,19.626221
-0.037011,4,19.965422
0.051651,1,20.09311
-0.011879,5,20.495522
0.0329,2,20.655592
0.02338,5,21.054686
-0.011811,1,21.130416
-0.057085,1,21.201414
0.00551,3,21.438879
0.011887,4,21.78353
0.006302,4,22.206857
0.009592,3,22.484961
0.042485,6,22.992199
0.026864,4,23.301933
-0.070245,2,23.458017
-0.000693,2,23.628791
0.011148,4,24.010653
-0.003198,4,24.321639
0.034447,5,24.69945
0.004113,1,24.7859
-0.036197,2,24.969144
0.000415,9,25.799793
-0.010042,3,26.049158
0.026526,5,26.46066
0.040582,4,26.812239
-0.08284,3,27.095153
-0.029375,1,27.217955
-0.104806,1,27.296821
0.03084,6,27.831286
0.123102,1,27.945239
0.027014,3,28.178692
-0.035746,4,28.514832
-0.037652,4,28.833955
-0.072772,5,29.215444
0.014325,2,29.384706
-0.064153,2,29.523661
-0.061033,2,29.695127
-0.046425,3,29.90556
-0.006957,2,30.079315
-0.010261,1,30.158455
0.098404,1,30.242532
0.022097,1,30.330407
0.23589,2,30.484114
-0.036673,2,30.631613
-0.012632,2,30.778014
-0.036903,3,31.050107
0.007137,1,31.128921
-0.006877,5,31.495113
-0.070579,2,31.66869
-0.239468,4,31.984503
0.028334,1,32.0717
0.006447,2,32.232266
0.005671,1,32.307233
0.010465,5,32.713799
0.021098,4,33.030788
0.037993,4,33.330949
-0.01076,2,33.482897
0.006595,1,33.562289
0.043995,2,33.716268
-0.023201,4,34.112826
-0.051307,2,34.260806
-0.004758,2,34.418882
0.020937,1,34.498174
-0.025307,3,34.728246
0.019344,2,34.86664
-0.057809,3,35.103681
-0.074814,3,35.365844
-0.044203,3,35.617341
-0.057754,3,35.866879
0.015125,4,36.180942
-0.006627,1,36.360504
0.022879,3,36.634547
0.079041,3,36.906096
-0.01389,2,37.066212
-0.010553,1,37.149887
0.015378,3,37.388399
0.011102,2,37.569769
-0.00886,2,37.741169
0.053837,2,37.932234
0.055242,2,38.082947
0.053841,2,38.239412
-0.007159,1,38.326516
-0.020427,5,38.731473
0.032536,2,38.896849
-0.030997,2,39.059597
-0.055375,1,39.152494
0.121785,3,39.388697
0.020389,6,39.835625
-0.01556,3,40.064466
-0.013798,8,40.64395
-0.039392,3,40.87282
-0.010417,5,41.254985
-0.016016,2,41.414711
-0.010565,3,41.650851
-0.184661,1,41.716939
0.141123,2,41.885019
0.019851,1,41.960232
-0.004385,8,42.600612
-0.011929,1,42.72848
-0.020384,2,42.881876
0.007767,2,43.057001
0.055178,1,43.150814
-0.036921,4,43.504704
0.004161,2,43.655581
-0.052516,7,44.181341
0.009122,3,44.411451
-0.066458,2,44.58515
-0.027976,4,44.903587
-0.127903,1,44.977697
-0.106024,3,45.209283
-0.009034,9,45.879
-0.038078,1,45.962309
-0.011296,3,46.199
-0.020414,2,46.361325
0.094743,7,46.906285
-0.082707,5,47.281858
-0.034303,3,47.523273
-0.080331,1,47.602236
-0.009635,6,48.066916
-0.04047,1,48.1441
0.032558,3,48.360653
0.147209,5,48.760588
0.074902,4,49.068254
-0.015283,5,49.491094
-0.015027,3,49.728312
-0.006207,3,49.946647
-0.034781,5,50.341715
0.005491,1,50.420508
-0.001278,4,50.699938
-0.009485,6,51.163808
0.052452,3,51.387577
0.026616,4,51.725052
-0.028139,1,51.816033
-0.018587,1,51.898438
0.006994,3,52.130626
0.024872,6,52.60106
0.019097,4,52.907642
-0.003503,2,53.059361
0.014666,5,53.436969
-0.004138,2,53.586742
0.00275,1,53.661494
0.026974,3,53.901547
-0.007086,1,53.973481
0.010626,2,54.137441
0.007267,5,54.481343
-0.014728,4,54.784654
0.00189,4,55.100135
-0.021227,2,55.250822
0.014899,4,55.538544
0.004112,3,55.771552
0.029623,3,55.993088
-0.01354,1,56.074208
0.022163,6,56.54529
0.009872,5,56.932893
0.016109,5,57.366868
0.085238,1,57.472851
-0.093631,2,57.63371
0.001563,7,58.208969
-0.015701,1,58.297461
-0.021933,1,58.386197
0.070935,2,58.536968
-0.058561,4,58.836491
-0.026634,3,59.05913
0.000776,2,59.219577
0.00423,1,59.326067
0.054744,4,59.632621
-0.012863,2,59.799082
0.002076,4,60.142249
0.055474,4,60.470504
0.097475,2,60.621584
0.040576,2,60.798542
