#{"t_start": 1632853271.6029687, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.022017,4,2.990973
-0.023252,3,3.225434
-0.051417,2,3.360785
0.08022,5,3.726245
-0.045772,2,3.887295
0.047754,3,4.105382
-0.049506,6,4.592809
0.06597,3,4.828071
0.008261,8,5.474304
0.031166,3,5.722027
-0.044745,2,5.893208
-0.056779,1,5.959423
0.05682,3,6.181627
0.009834,5,6.579445
0.039738,2,6.714561
-0.024717,2,6.878031
0.012141,2,7.015697
-0.121646,2,7.159659
0.007529,2,7.326394
0.082819,1,7.420496
0.020224,6,7.877723
0.015615,4,8.283479
-0.101871,3,8.504954
-0.036847,1,8.592268
-0.043556,1,8.678955
0.003604,5,9.088032
-0.132319,3,9.369441
0.073342,3,9.590404
0.027527,2,9.739171
0.100291,3,9.983676
0.151955,2,10.143401
-0.0818,2,10.311406
-0.037976,5,10.709189
0.056636,3,10.951846
-0.014476,4,11.315841
-0.016027,4,11.629218
-0.045099,3,11.86577
-0.019047,4,12.176471
-0.003356,2,12.337461
-0.003756,2,12.530453
-0.018681,1,12.600243
0.019891,2,12.758859
0.027446,3,13.013174
0.05294,3,13.268495
-0.04473,2,13.408141
0.026679,4,13.71716
0.018423,3,13.933707
0.017848,3,14.173572
-0.008651,4,14.476547
0.047712,6,14.950741
-0.01681,2,15.132192
-0.007192,3,15.390304
0.127893,2,15.561064
0.003507,1,15.639615
-0.05217,6,16.155036
-0.074099,2,16.311773
-0.039608,1,16.399873
-0.134934,2,16.535036
0.011897,5,16.935933
-0.067014,4,17.257627
0.004082,3,17.471472
0.016711,2,17.647786
0.022741,4,17.939132
-0.038271,1,18.037029
-0.054717,5,18.457658
-0.079298,5,18.997671
0.00787,3,19.232993
-0.021527,2,19.397984
-0.02236,2,19.603556
-0.001701,3,19.895786
-0.017238,2,20.081439
0.010246,5,20.488355
-0.03665,1,20.581512
0.068002,3,20.814254
-0.011883,4,21.122253
0.018257,5,21.527203
0.052575,2,21.701882
-0.016919,2,21.865915
-0.057085,1,21.964703
0.021152,3,22.312438
0.000325,1,22.403347
0.000415,2,22.5577
-0.003626,2,22.73641
0.054115,3,22.984835
0.038309,1,23.056008
-0.070245,2,23.218097
-0.006398,2,23.377844
-0.041469,2,23.538132
-0.03007,1,23.617376
0.024573,1,23.701543
0.004113,1,23.817184
-0.036197,2,23.996595
0.033891,3,24.242306
-0.002777,2,24.408313
0.018727,1,24.478646
0.02337,5,24.867442
-0.051983,3,25.210733
-0.023128,2,25.383841
-0.104806,2,25.55736
0.045118,4,25.880274
0.129387,2,26.042142
0.028153,2,26.197937
-0.044304,1,26.316174
-0.038265,3,26.581454
-0.043773,4,26.900997
-0.008035,4,27.285058
-0.037396,4,27.628562
-0.036767,2,27.811915
-0.058738,6,28.345485
-0.016039,1,28.428831
-0.010261,1,28.507142
0.098404,1,28.596187
0.026076,2,28.746994
0.339858,3,28.97693
-0.022578,1,29.040592
-0.013586,3,29.287146
-0.031634,5,29.679333
0.023945,4,30.015829
-0.018504,5,30.404264
-0.070579,2,30.559052
-0.277589,2,30.697034
0.033581,5,31.121708
0.000774,3,31.347198
0.005671,1,31.429237
8.1e-05,4,31.742831
0.019866,4,32.06423
0.025705,3,32.300772
-0.016585,4,32.61832
0.013428,2,32.787818
0.034163,2,32.946544
-0.044533,5,33.32459
-0.063329,8,34.035964
0.007261,5,34.412392
-0.01558,6,34.858881
-0.025059,2,35.016571
0.029025,3,35.273637
-0.026879,4,35.610018
-0.080306,3,35.859447
-0.085768,6,36.43059
-0.033074,3,36.710057
-0.03144,1,36.834157
-0.011762,2,36.970261
0.031579,4,37.313712
0.062033,3,37.558161
-0.037466,2,37.729449
0.011873,5,38.146863
0.027931,4,38.478109
-0.005494,5,38.885362
-0.042038,4,39.242213
0.04515,5,39.614013
0.039963,3,39.829009
0.017174,4,40.136442
0.00734,5,40.489683
-0.029688,3,40.708559
0.029681,2,40.865683
-0.016391,3,41.095006
-0.055375,1,41.174785
0.097887,4,41.485678
0.025303,4,41.806953
-0.040052,2,41.952326
-0.034023,2,42.12947
-0.041779,4,42.444718
-0.007507,3,42.712154
-0.020278,2,42.869051
0.006597,2,43.049756
-0.113216,3,43.339622
0.101458,1,43.414478
0.00776,5,43.814903
-0.00236,2,43.962651
0.001303,3,44.169863
-0.023406,4,44.490906
-0.002203,1,44.573609
0.055178,1,44.656249
-0.057102,1,44.748982
0.00959,1,44.823259
-0.026011,4,45.124227
-0.014915,6,45.574909
-0.05684,2,45.722336
-0.059558,2,45.871871
-0.106056,4,46.187438
-0.155232,3,46.433604
0.013354,4,46.731696
-0.038078,1,46.816027
5.5e-05,5,47.197906
-0.017327,3,47.437339
0.151565,2,47.595158
-0.047632,2,47.756953
-0.056915,3,47.983166
-0.103314,4,48.291922
-0.019718,2,48.445142
-0.04047,1,48.517752
0.026319,3,48.752648
0.116662,1,48.846616
0.058854,4,49.148886
0.024744,2,49.31274
-0.051812,1,49.403063
-0.012269,4,49.721136
-0.026782,3,49.939465
-4.8e-05,2,50.106152
-0.004937,1,50.190528
-0.010871,1,50.269489
0.104505,5,50.626186
0.031052,4,50.927324
-0.028139,1,50.989128
-0.003012,5,51.380464
-0.047497,2,51.545219
0.016069,3,51.808955
0.001437,1,51.887185
0.006494,2,52.041645
-0.0033,3,52.279594
0.021688,4,52.593976
0.00275,1,52.670538
0.026542,2,52.816296
-0.005046,4,53.126904
-0.011155,4,53.429834
0.000766,3,53.650044
-0.030066,4,53.96678
0.001887,4,54.26573
