#{"t_start": 1632853271.619517, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.017282,3,2.93276
-0.011544,2,3.111062
-0.085929,3,3.311742
0.071393,1,3.38852
-0.072179,3,3.606236
0.048477,4,3.913005
-0.024967,5,4.286202
0.053778,2,4.455518
0.003842,1,4.528532
0.032528,3,4.772195
-0.057437,3,5.001516
-0.056779,1,5.089612
0.040763,2,5.255016
0.004493,1,5.339568
0.029011,1,5.414496
-0.024717,2,5.587114
0.004116,3,5.833057
-0.112284,2,5.987871
0.005536,3,6.200129
0.090423,4,6.518785
0.041073,2,6.663774
0.001679,1,6.739613
-0.053531,1,6.822967
0.002695,7,7.363796
-0.027545,3,7.590429
-0.010084,1,7.681298
-0.102759,3,7.978375
0.10381,2,8.153927
0.014555,3,8.378937
0.084819,4,8.707854
0.112821,2,8.869653
-0.081597,4,9.227766
-0.011584,1,9.31874
0.065821,4,9.615667
-0.014385,2,9.771267
-0.015415,4,10.083841
-0.073867,2,10.253871
-0.009775,4,10.550302
-0.018483,3,10.814627
0.004631,3,11.10408
0.004805,2,11.254552
0.018293,3,11.499714
0.010399,6,11.966539
0.02807,1,12.045746
-0.036585,1,12.12092
-0.036549,1,12.196776
0.01894,4,12.550871
0.02696,1,12.639698
-0.003581,5,13.048509
0.045674,2,13.208911
-0.027542,5,13.598103
-0.002489,1,13.666151
0.076815,7,14.202642
0.028478,5,14.568032
-0.028434,3,14.818588
-0.091449,2,14.984492
-0.046516,3,15.251796
-0.118673,2,15.429958
0.002295,2,15.583697
-0.175113,2,15.789412
0.011224,6,16.262703
0.002883,6,16.731226
0.028269,2,16.881637
-0.035998,3,17.125819
-0.02739,1,17.202927
-0.086884,2,17.365729
-0.022327,5,17.739135
-0.03407,2,17.893768
-0.051788,1,17.972525
-0.010019,3,18.22216
-0.001928,4,18.554435
0.004581,6,19.180383
-0.03665,1,19.270223
0.056097,3,19.531677
-0.021473,2,19.764543
-0.003944,1,19.840392
0.060094,2,20.012881
-0.009807,4,20.35942
-0.081415,3,20.598058
0.017525,1,20.692154
0.000325,1,20.765708
-0.009083,1,20.839397
0.012537,5,21.218695
0.039932,1,21.299033
0.051636,2,21.462045
-0.069094,3,21.729889
-0.00534,3,22.001455
-0.023415,1,22.141934
-0.016786,4,22.501756
0.038575,3,22.760413
0.022452,2,22.925007
-0.07119,3,23.157198
-0.010042,1,23.247657
-0.000883,3,23.489128
0.012585,6,24.027805
0.046671,3,24.267798
-0.048979,1,24.34475
-0.028742,6,24.79844
-0.094806,2,24.995608
0.008007,1,25.127038
0.213898,4,25.502765
0.012885,5,25.901887
-0.038105,2,26.070745
-0.057369,1,26.143306
-0.08427,1,26.245221
0.00033,1,26.340168
-0.045174,2,26.494568
-0.04912,1,26.606437
-0.064165,4,26.924613
0.00963,6,27.492397
0.002886,5,27.968846
0.189434,3,28.203768
0.036124,3,28.452431
0.191082,3,28.68822
-0.032221,2,28.861346
-0.012334,3,29.06917
-0.029442,2,29.233179
0.018032,2,29.401855
-0.012773,4,29.712482
-0.036698,6,30.185591
-0.150263,5,30.581676
0.035623,3,30.816441
0.006392,5,31.216246
0.017151,2,31.375599
0.014919,3,31.598137
0.008228,3,31.852046
0.047798,4,32.176093
-0.008347,4,32.505168
0.016327,2,32.647191
0.016406,4,32.974472
-0.037181,3,33.185301
-0.06196,4,33.505528
-0.000878,2,33.659481
0.023307,3,33.913639
-0.017612,6,34.436507
0.018479,2,34.591039
-0.030151,1,34.670588
-0.125373,4,34.968431
-0.059646,2,35.132785
-0.06346,3,35.388883
0.008636,4,35.719889
-0.015941,4,36.04565
0.014468,2,36.240855
0.091983,3,36.544667
-0.052157,3,36.851499
0.003817,2,37.005328
0.028754,1,37.08411
0.004814,1,37.172741
-0.039646,3,37.404556
0.036987,2,37.597323
0.033494,1,37.679622
0.034226,2,37.869884
0.002142,5,38.273004
-0.032655,1,38.34089
0.024927,4,38.672234
-0.034045,2,38.821198
-0.055375,1,38.928534
0.065266,7,39.481717
-0.003625,9,40.156049
-0.021678,4,40.440372
-0.015484,7,40.967073
-0.067919,4,41.282051
-0.008007,3,41.511322
-0.022047,1,41.592885
-0.052785,5,41.987712
-0.184661,1,42.066919
0.072133,7,42.647053
0.019851,1,42.747238
-0.00622,1,42.822187
-0.001929,2,42.990588
-0.004717,11,43.908968
-0.002203,1,43.986186
0.069375,2,44.120028
-0.035271,4,44.434223
0.00959,1,44.520285
-0.042156,3,44.773563
0.000405,1,44.846957
-0.05684,2,45.003994
-0.064712,1,45.072831
-0.17641,5,45.44538
-0.09767,2,45.6037
0.00827,4,45.901201
0.010745,5,46.29994
0.001325,2,46.46223
-0.020698,1,46.53736
0.100279,4,46.841194
-0.043599,3,47.06919
-0.039123,1,47.13898
-0.114099,3,47.387787
-0.006652,2,47.536789
-0.029542,4,47.862565
0.028064,2,48.004969
0.156379,4,48.312682
0.060036,4,48.630998
0.017336,2,48.782969
0.010011,4,49.094776
-0.013344,2,49.259279
-0.011105,1,49.344503
-0.030697,5,49.750346
-0.011001,4,50.046726
0.004022,3,50.289562
0.056739,2,50.448222
0.027478,4,50.725447
0.003692,6,51.178128
-0.018587,1,51.259288
-0.055108,1,51.335977
0.020805,3,51.578651
0.010192,2,51.750185
0.006869,2,51.911861
-0.003932,3,52.146923
0.021906,4,52.466107
0.020596,2,52.619555
0.026974,3,52.841029
-0.007086,1,52.927065
0.000348,4,53.221606
-0.007471,4,53.538888
-0.021344,4,53.84218
-0.010669,3,54.080444
-0.009522,4,54.356786
0.010642,4,54.660872
0.003987,3,54.877046
0.033674,2,55.048504
-0.003992,3,55.272218
0.020628,5,55.631081
-0.004237,1,55.723613
0.019696,3,55.935794
0.128408,3,56.175526
-0.093631,2,56.334359
0.00403,2,56.485719
0.06461,4,56.787042
-0.010311,9,57.575133
0.076624,5,58.004356
-0.022363,4,58.318596
-0.046137,3,58.573116
-0.00997,7,59.085265
0.001448,3,59.348705
0.064321,2,59.493584
-0.001458,3,59.734967
0.011596,5,60.175408
0.045793,3,60.406552
0.082665,3,60.644057
0.027809,4,60.962782
-0.013239,1,61.036848
-0.011538,4,61.353881
-0.001536,3,61.614213
0.003761,2,61.772273
-0.148588,1,61.852395
-0.005999,2,62.017349
0.07442,3,62.248764
0.02115,4,62.547098
0.049145,4,62.88484
0.02786,3,63.119372
0.055963,3,63.330992
0.028657,2,63.475546
-0.130216,2,63.637133
-0.029812,2,63.803439
-0.024282,3,64.043777
-0.016097,5,64.436206
-0.013507,3,64.655797
0.011591,6,65.10801
-0.13386,2,65.277021
-4e-06,2,65.425068
-0.027611,3,65.654853
0.00121,4,65.94586
-0.11604,2,66.111354
-0.027737,2,66.26
0.034433,2,66.405551
-0.31184,3,66.635535
-0.144407,2,66.801143
0.003126,4,67.073713
-0.050606,3,67.355164
-0.11125,2,67.520616
-0.005843,4,67.821099
0.020261,3,68.033921
0.106266,3,68.253507
0.008038,5,68.653665
0.015578,2,68.801624
-0.116194,4,69.102662
0.025224,1,69.18973
-0.048798,2,69.332912
-0.035512,4,69.646633
-0.028159,3,69.873189
-0.0141,4,70.153339
-0.036875,1,70.222731
0.058815,2,70.372082
0.015021,6,70.839592
-0.025613,3,71.075069
-0.057213,2,71.241728
-0.016253,1,71.329437
-0.139919,4,71.621531
0.008629,1,71.696042
0.008434,4,72.009718
-0.01695,1,72.083182
0.080241,2,72.23599
0.021751,1,72.307763
-0.014163,4,72.63261
0.019182,1,72.699636
0.125189,4,73.003255
0.011641,6,73.445007
-0.049788,3,73.667996
0.033812,2,73.806613
0.024865,3,74.034989
-0.084704,3,74.255356
-0.056515,1,74.324417
0.031063,2,74.493767
-0.044807,1,74.578295
-0.006883,2,74.733175
-0.037648,1,74.828366
0.090603,4,75.156683
-0.009372,1,75.225047
0.013819,5,75.604964
0.020426,1,75.691286
0.030787,3,75.921391
-0.092464,3,76.163204
0.025567,3,76.37939
0.01417,1,76.443776
0.00562,3,76.679538
0.039053,3,76.916973
-0.068028,3,77.144737
-0.043924,3,77.373343
0.026385,5,77.727965
-0.085025,5,78.102203
-0.042492,3,78.333993
0.073519,3,78.569669
-0.113838,1,78.648598
-0.001181,1,78.732072
-0.157787,4,79.030662
