#{"t_start": 1632853271.5940094, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.031325,3,2.900074
-0.003505,2,3.065127
-0.063175,3,3.280458
0.075485,4,3.563336
-0.052185,2,3.713618
0.037208,2,3.865959
-0.036143,5,4.260051
0.066254,2,4.41828
-0.002314,2,4.579127
0.036487,3,4.819669
-0.025192,1,4.891587
-0.035461,2,5.043392
0.05189,3,5.296552
0.023882,2,5.461426
0.040624,2,5.629503
-0.056699,5,6.03193
0.008505,4,6.321571
-0.109622,3,6.562556
-0.002491,4,6.865463
0.096339,2,6.998896
0.085452,3,7.232636
0.007737,2,7.407115
-0.055454,3,7.636749
-0.036847,1,7.723052
-0.043556,1,7.797754
-0.008934,2,8.034441
-0.157553,3,8.275258
0.093266,2,8.421047
0.018293,1,8.49153
0.05785,1,8.584485
0.131101,5,8.99015
-0.07928,3,9.277573
-0.026854,3,9.493846
0.041811,1,9.573581
0.00095,5,9.970047
-0.032325,3,10.229296
-0.032845,5,10.616013
-0.009479,6,11.152975
-0.000856,2,11.302792
-0.003756,2,11.450566
-0.020849,4,11.776965
0.00024,6,12.247252
0.023106,3,12.509238
0.007298,6,12.997535
-0.051494,5,13.395883
0.021633,8,13.992534
0.007961,2,14.156708
0.025555,4,14.462927
-0.010168,3,14.674013
0.070554,2,14.86751
-0.020526,3,15.116077
0.000751,2,15.302104
0.097414,2,15.474675
0.025228,6,15.975706
-0.028434,3,16.2347
-0.046899,2,16.387644
-0.022422,6,16.85805
-0.187121,3,17.083468
0.010934,3,17.333303
0.023856,4,17.63935
-0.008304,8,18.270297
0.005377,1,18.343692
0.020255,1,18.429543
-0.061183,2,18.600839
-0.032093,2,18.902499
-0.07446,6,19.389893
0.023154,3,19.735556
-0.034789,4,20.068776
-0.015319,2,20.242615
-0.009523,3,20.47117
-0.020961,2,20.640011
0.003289,5,21.034377
-0.052911,3,21.260047
0.050332,3,21.510102
-0.027565,5,21.943718
0.028623,2,22.190355
0.045075,1,22.29158
-0.01948,6,22.807544
-0.057085,1,22.885015
0.017525,1,22.968005
-0.005182,6,23.443424
0.017363,4,23.79514
0.007164,9,24.550035
0.039932,1,24.61591
0.046942,5,25.039853
-0.049524,4,25.467622
-0.002538,4,25.773664
-0.023292,3,26.024788
-0.001716,5,26.449189
0.024573,1,26.563688
0.036774,3,26.788335
-0.040579,3,27.066702
-0.010042,1,27.19066
-0.001239,3,27.455159
0.032655,3,27.714683
0.040008,3,28.019933
-0.043851,2,28.158503
-0.046561,4,28.494545
-0.104806,1,28.584025
0.021729,2,28.735793
0.123102,1,28.809717
0.019583,2,28.968086
-0.046776,3,29.20016
-0.060276,2,29.364934
-0.093036,2,29.50372
0.007214,2,29.65188
-0.043133,4,29.991256
-0.037542,4,30.311087
-0.064234,2,30.470328
0.006656,4,30.761589
-0.010507,2,30.958112
0.098404,1,31.039317
0.034435,3,31.26749
0.195897,3,31.485266
-0.030384,2,31.651131
-0.013049,3,31.903133
-0.077077,4,32.221865
0.017483,3,32.480947
-0.019448,3,32.693427
-0.066148,2,32.868032
-0.129208,6,33.311993
0.035834,2,33.468163
0.009157,2,33.63108
0.005671,1,33.701353
0.01104,1,33.785424
0.006376,2,33.97262
0.05886,2,34.174783
-0.027096,4,34.478517
0.014725,8,35.079214
0.02433,1,35.179417
-0.03585,2,35.35078
-0.046286,2,35.522536
-0.002827,1,35.597607
0.009008,4,35.930422
-0.025059,2,36.088624
0.02092,2,36.318039
-0.030151,1,36.41729
-0.075491,1,36.508264
-0.043961,3,36.796797
-0.054932,4,37.129718
0.01544,4,37.452757
-0.064429,6,37.993431
0.022214,6,38.457567
0.060498,2,38.624944
-0.04581,3,38.86801
0.017181,4,39.224677
0.018486,5,39.605096
0.005895,3,39.821681
-0.015755,2,39.976245
0.068829,3,40.202467
0.022718,5,40.552848
0.002816,3,40.784111
0.000737,5,41.166253
-0.039987,4,41.479118
0.037021,2,41.634225
-0.030369,2,41.794396
-0.096314,3,42.033719
0.071706,6,42.513709
0.008,6,43.037574
-0.037552,2,43.259854
-0.020822,4,43.568874
-0.030869,1,43.63597
-0.019283,1,43.738685
-0.022047,1,43.8024
0.017193,3,44.031625
-0.184661,1,44.097154
0.116871,2,44.245273
0.019851,1,44.31669
0.009991,4,44.647587
0.012894,4,44.958673
-0.011881,3,45.194256
-0.001847,3,45.418748
0.044104,2,45.558068
-0.04172,2,45.706923
0.015791,6,46.175308
-0.030471,2,46.346476
0.008288,4,46.659271
-0.037959,4,46.970166
-0.041544,3,47.180814
-0.142847,4,47.499774
-0.085136,1,47.583192
0.003005,3,47.828017
-0.002276,4,48.120712
-0.019475,4,48.428866
-0.013059,2,48.593668
0.104056,3,48.824265
-0.065963,4,49.136739
-0.039123,1,49.215921
-0.097115,2,49.391015
-0.011176,2,49.550065
-0.032966,2,49.71263
0.030857,2,49.86417
0.207908,2,50.005982
0.064413,1,50.093507
-0.006054,4,50.406113
-0.035727,3,50.618504
-0.014374,1,50.689289
-0.016246,3,50.914637
0.005491,1,50.981282
