#{"t_start": 1632853271.623149, "env_id": "OrderExecutionEnvironment-v0"}
r,l,t
-0.017033,3,2.939811
-0.028939,7,3.458097
-0.043835,3,3.674562
0.08901,4,3.993333
-0.052185,2,4.151622
0.038607,1,4.220385
-0.029713,4,4.539962
0.060007,4,4.852114
0.009253,3,5.10098
0.022538,1,5.176477
-0.031858,4,5.508228
-0.058851,2,5.669088
0.05218,7,6.211461
0.004493,1,6.281969
0.029927,2,6.440367
-0.013493,2,6.601997
0.009104,2,6.747
-0.103779,7,7.282658
0.003679,3,7.519696
0.076339,3,7.758282
0.059307,4,8.160955
0.001679,1,8.235951
-0.060976,4,8.545184
-0.036847,1,8.63284
-0.043556,1,8.719385
-0.009767,2,8.877281
-0.113747,2,9.038826
0.04992,7,9.623358
0.020391,2,9.783854
0.072055,5,10.188733
0.151955,2,10.341645
-0.0505,3,10.5618
-0.011584,1,10.661644
0.063594,2,10.822686
-0.010688,3,11.112436
-0.022343,2,11.262444
-0.028952,4,11.57717
-0.031429,2,11.737365
-0.005571,1,11.821717
0.015071,6,12.286459
0.001976,2,12.469975
0.025008,3,12.707408
0.025928,3,12.949825
0.054713,2,13.134154
-0.03186,4,13.441256
0.038319,4,13.761375
0.015576,3,13.953388
0.033927,2,14.117574
-0.008964,3,14.355687
0.054957,5,14.732785
-0.01681,3,14.995978
-0.01188,3,15.260231
0.094978,7,15.862516
0.016358,2,16.027968
-0.026683,1,16.103778
-0.087884,3,16.348471
-0.058672,3,16.582008
-0.227217,2,16.738606
0.006741,3,16.965955
-0.018836,4,17.294145
-0.016652,1,17.372771
0.017331,2,17.512205
0.019569,3,17.74631
-0.039426,3,17.98385
-0.02667,5,18.381473
-0.130285,2,18.561667
0.022089,3,18.946946
-0.021527,2,19.100986
-0.015319,2,19.282644
-0.007406,3,19.543902
-0.017307,1,19.69602
0.004981,2,19.847742
-0.039998,2,20.028618
0.051651,1,20.13208
-0.02105,2,20.28622
-0.003944,1,20.365981
0.075113,2,20.529759
-0.024343,4,20.846669
-0.048416,7,21.385291
0.021184,2,21.559715
-0.001124,5,22.012106
-0.009083,1,22.149434
0.017728,5,22.599881
0.039932,1,22.683692
0.064964,2,22.84521
-0.049263,4,23.165184
-0.000693,2,23.326231
0.005011,5,23.748941
-0.053422,2,23.94119
0.040832,3,24.196738
0.02223,2,24.35657
-0.04458,6,24.806178
0.031874,3,25.140449
-0.011107,1,25.251297
0.018727,1,25.334688
0.026858,2,25.51081
-0.048979,1,25.585681
-0.044814,4,25.90853
-0.083109,4,26.256934
0.031672,3,26.516058
0.152767,2,26.680103
0.025826,3,26.936315
-0.06319,2,27.145713
-0.059514,5,27.573892
-0.062646,3,27.876166
0.00033,1,27.980532
-0.041916,2,28.119088
-0.047503,2,28.293871
-0.037551,1,28.376795
